(床付け及び杭間ざらい) 表 RA - 2 -16 【設】【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,床付け (1㎡当たり),,,,,,,,,,
名 称,,,摘 要,,単位,,所要量,,備 考,,
普通作業員 そ の 他,,,,,人 式,,0.021,,,,
(注)１.根切り底の地業の面積数量で計上する。,,,,,,,,,,,
２.小規模土工及び人力土工には、適用しない。,,,,,,,,,,,
３.「その他」の率対象は、普通作業員とする。,,,,,,,,,,,
,,,,,,,,,,,
表 RA - 2 -17 【設】【専】,,,,,,,,,,,
,杭間ざらい (杭1本当たり),,,,,,,,,,
名 称,,,摘 要,,単位,,所要量,,備 考,,
普通作業員 そ の 他,,,,,人 式,,0.081,,,,
(注)１.既製コンクリート杭の場合に適用する。,,,,,,,,,,,
,,２.「その他」の率対象は、普通作業員とする。,,,,,,,,,
,,,,,,,,,,,
(埋戻し及び盛土) 表 RA - 2 -18 【市】,,,,,,,,,,,
,埋戻し つぼ掘り及び布掘り(バックホウ0.8ｍ3)                   (1ｍ3当たり),,,,,,,,,,
名 称,,,摘 要,,単位,,所要量,,備,,考
バックホウ運転,,,0.8ｍ3,,日,,0.0067,,,,
振動ローラ運転,,,0.8～1.1t,,日,,0.016,,,,
締 固 め,,,タンパ,,ｍ3,,0.1,,締固めによる,,
普通作業員,,,,,人,,0.016,,,,
そ の 他,,,,,式,,1,,,,
(注)１.「その他」の率対象は、普通作業員とする。,,,,,,,,,,,
表 RA - 2 -19,,,【専】,,,,,,,,
埋戻し つぼ掘り及び布掘り(バックホウ0.45ｍ3),,,,,,,,,,,(1ｍ3当たり)
名 称,,,摘 要,,単位,,所要量,,備,,考
バックホウ運転,,,0.45ｍ3,,日,,0.011,,,,
振動ローラ運転,,,0.8～1.1t,,日,,0.016,,,,
締 固 め,,,タンパ,,ｍ3,,0.1,,締固めによる,,
普通作業員,,,,,人,,0.016,,,,
そ の 他,,,,,式,,1,,,,
(注)１.「その他」の率対象は、普通作業員とする。,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,- RA 7 -,,,
