表　RE-1-5 【設】 　金属トラフ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
,,,,,,,,,,
細　目,摘　要,,単位,材　料,,,雑材料,電工 ［人］,その他,備　考
,,,,金属トラフ ［ｍ］,,,,,,
,200mm×100mm,,,1,,,,0.52,,
,250mm×100mm,,,1,,,,0.54,,
,300mm×100mm,,,1,,,１式,0.56,,
,400mm×150mm,,,1,,,,0.62,,
,500mm×150mm,,,1,,,材 料 価 格,0.66,,
金属トラフ,500mm×200mm,,ｍ,1,,,,0.68,１式,
,600mm×200mm,,,1,,,,0.72,,
,600mm×250mm,,,1,,,×,0.74,,
,600mm×300mm,,,1,,,0.02,0.76,,
,800mm×250mm,,,1,,,,0.82,,
,800mm×300mm,,,1,,,,0.84,,
,800mm×400mm,,,1,,,,0.88,,
(注)1.本表以外の寸法のものについては、［縦(mm)＋横(mm)＋1000］×0.0004の値をｍ当たりの,,,,,,,,,,
　　　　電工の歩掛りとする。 　　　2.「その他」の率対象は、電工とする。,,,,,,,,,,
,,,,,,,,,,
,,,,-RE4-,,,,,,
