表　RE-1-6 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
　防火区画貫通処理,,,,,,,,
細　目,,摘　要,単　位,,材　料,電　工 ［人］,その他,備考
,,,,,防火区画貫通処理材料 ［か所］,,,
ケーブルラック(壁),,200mm幅,か所,,１式,0.794,１式,
,,300mm幅 400mm幅,,,,0.946 1.10,,
,,500mm幅 600mm幅,,,,1.25 1.40,,
,,800mm幅,,,,1.71,,
,,1000mm幅,,,,2.01,,
ケーブルラック(床),,200mm幅,か所,,１式,0.722,,
,,300mm幅,,,,0.86,,
,,400mm幅,,,,0.998,,
,,500mm幅 600mm幅,,,,1.14 1.27,,
,,800mm幅 1000mm幅,,,,1.55 1.83,,
金属管用,,-19,か所,,１式,0.022,,
,,-25,,,,0.027,,
,,-31,,,,0.033,,
,,-39,,,,0.037,,
,,-51,,,,0.042,,
,,-63,,,,0.046,,
,,-75,,,,0.05,,
(注)　1.「その他」の率対象は、電工とする。,,,,,,,,
,,,,,,,,
表　RE-1-7 【設】,,,,,,,,
,,,,,,,,
,,,,,,,,
　延焼防止処理,,,,,,,,
細　目,,摘　要,単　位,,材　料,電　工 ［人］,その他,備考
,,,,,延焼防止処理材料 ［か所］,,,
ＥＰＳ内ラック用(床),,200mm幅,か所,,１式,0.505,１式,
,,300mm幅,,,,0.602,,
,,400mm幅,,,,0.699,,
,,500mm幅,,,,0.795,,
,,600mm幅,,,,0.892,,
,,800mm幅,,,,1.09,,
,,1000mm幅,,,,1.28,,
(注)　1.「その他」の率対象は、電工とする。,,,,,,,,
,,,,,,,,
,,,,-RE5-,,,,
