表　RE-1-8 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,　プルボックス、位置ボックス,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,摘　要,,,,,,,材料,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,電 　 工 ［人］,,,,,,,
,,,,,,,,,,,プ,位,,,,,,,,,,,,,,,
,,,,,,,,,,,ル,置,,,,雑,,,,,,,そ,,,,
,,,,,,,,単 　 位,,,ボ,ボ,,,,　,,,,,,,　,,,,
,,細　目,,,,,,,,,,,,,,材,,,,,,,の,,,,備　考
,,,,,,,,,,,,,,,,　,,,,,,,　,,,,
,,,,,,,,,,,ク,ク,,,,料,,,,,,,他,,,,
,,,,,,,,,,,ス,ス,,,,,,,,,,,,,,,
,,,,,,,,,,［個］［個］,［個］,［個］,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,150mm× 150mm×100mm,,,,,,,1,,,,,,,,,0.2,,,,,,,
,,,,200mm× 200mm×100mm,,,,,,,1,,,,,,,,,0.25,,,,,,,
,,,,250mm× 250mm×100mm,,,,,,,1,,,,,,,,,0.3,,,,,,,
,,,,300mm× 300mm×200mm,,,,,,,1,,,,,,,,,0.4,,,,,,,
,,,,350mm× 350mm×200mm,,,,,,,1,,,,,,,,,0.45,,,,,,,
,,,,400mm× 400mm×200mm,,,,,,,1,,,,,,,,,0.5,,,,,,,
,,,,450mm× 450mm×200mm,,,,,,,1,,,,,,,,,0.55,,,,,,,
,,,,500mm× 500mm×300mm,,,,,,,1,,,,１,,式,,,0.65,,,,,,,
,,,,550mm× 550mm×300mm,,,,,,,1,,,,,,,,,0.7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,つりボルト及 びインサート は加算計上す る。,,
,,,,600mm× 600mm×300mm,,,,,,,1,,,材,,,,,,0.75,,,,,,,
,プルボックス,,,650mm× 650mm×300mm,,,,,個,,1,,,料,,,,,,0.8,,１式,,,,,
,,,,,,,,,,,,,,価,,,,,,,,,,,,,
,,,,700mm× 700mm×300mm,,,,,,,1,,,格,,,,,,0.85,,,,,,,
,,,,750mm× 750mm×400mm,,,,,,,1,,,×,,,,,,0.95,,,,,,,
,,,,800mm× 800mm×400mm,,,,,,,1,,,0,,.,,2.0,,1,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,850mm× 850mm×400mm,,,,,,,1,,,,,,,,,1.05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,900mm× 900mm×400mm,,,,,,,1,,,,,,,,,1.1,,,,,,,
,,,,950mm× 950mm×400mm,,,,,,,1,,,,,,,,,1.15,,,,,,,
,,,,1000mm×1000mm×500mm,,,,,,,1,,,,,,,,,1.25,,,,,,,
,,,,1100mm×1100mm×500mm,,,,,,,1,,,,,,,,,1.35,,,,,,,
,,,,1200mm×1200mm×500mm,,,,,,,1,,,,,,,,,1.45,,,,,,,
,位置ボックス,,,,,,,,個,,,1,,,,,,,,0.1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(注)1.本表以外の寸法のプルボックスについては、［ 　　　　値を１個当たりの電工の歩掛りとする。 　　　2.「その他」の率対象は、電工とする。,,,,,,,,,,,,,(mm)＋横,,,,,,mm)＋,さ(mm),,,,,×0.0005の,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
表　RE-1-9 【市】,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
　位置ボックス用ボンディング,,,,,,,,,,,,,,,,,,,,,,,,,,,
細　目,,,,摘　要,,単位,材　料,,,,,,,,,,,,,　電工 ［人］,その他,,,,備考,,
,,,,,,,ラジアスクリッ　プ　 ［個］,,,,,,,　裸銅線　　 ［kg］,,,,,,,,,,,,,
ボンディング,,,,位置ボックス,,個,―,,,,,,,0.012,,,,,,0.01,１式,,,,,,
(注) 1.「その他」の率対象は、電工とする。,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-RE6-,,,,,,,,,,,,,,,,,,,
