(配線工事) 表　RE-1-10 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
　600V絶縁電線 (EM-IE、EM-IC、HIV、IV、IC),,,,,,,,,,,,,,,,
細　目,摘　要,,,単位,,材　料,,,,雑材料,電工 ［人］,その他,,備　考,,
,,,,,,600V絶縁電線 ［ｍ］,,,,,,,,,,
,1.0 ㎜,,,,,,,,,,0.009,,,,,
,1.2 ㎜,,,,,,,,,,0.01,,,,,
,1.6 ㎜,,,,,,,,,,0.01,,,,,
,2.0 ㎜,,,,,,,,,,0.011,,,,,
,2.6 ㎜,,,,,,,,,１式,0.014,,,,,
,2 ㎜2,,,,,1.15,,,,,0.01,,,,,
,3.5㎜2,,,,,,,,,材,0.011,,,,,
,5.5㎜2,,,,,,,,,料 価,0.014,,,,,
600V絶縁電線,8　㎜2,,,ｍ,,,,,,格,0.016,１式,,,,
,14　㎜2,,,,,,,,,×,0.02,,,,,
,22　㎜2,,,,,,,,,0.05,0.024,,,,,
,38　㎜2,,,,,,,,,,0.032,,,,,
,60　㎜2,,,,,,,,,,0.042,,,,,
,100　㎜2,,,,,,,,,,0.056,,,,,
,150　㎜2,,,,,1.1,,,,,0.073,,,,,
,200　㎜2,,,,,,,,,,0.083,,,,,
,250　㎜2,,,,,,,,,,0.098,,,,,
,325　㎜2,,,,,,,,,,0.117,,,,,
(注)1.ダクト類の配線にも適用する。 　　　2.合成樹脂製可とう電線管(PF管、CD管)内配線の場合は、電工の歩掛りを0.9倍して 　　　　用いる。 　　　3.接地線は、ラック、ピット、トラフ及びダクトとも管内の電工の歩掛りを用いる。 　　　4.「その他」の率対象は、電工とする。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
表　RE-1-11 【設】,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
　ＬＡＮ用ケーブル (EM-UTP、UTP),,,,,,,,,,,,,,,,
,,,,,,材　料,,,,,,,電工 ［人］,,,
細　目,摘　要,,,単位,,LAN用ケーブル ［ｍ］,,,雑材料,,,,,,その他,備考
LAN用ケーブル,2P,,,ｍ,,1.1,,,１式 (材料価格×0.03),,,,0.014,,１式,
(注)1.ケーブルラック配線の場合は、電工の歩掛りを 1.2倍して用いる。 　　　2.ピット、トラフ及び天井内配線の場合は、電工の歩掛りを0.8倍して用いる。 　　　3.合成樹脂製可とう電線管(PF管、CD管)及び波付硬質合成樹脂管内配線の場合は、電工の 　　　　歩掛りを0.9倍して用いる。 　　　4.コンクリート部分にサドル止め(カールプラグ止め)の場合は、電工の歩掛りを2.0倍して 　　　　用いる。 　　　5.木造部分にサドル止め又はステープル止めの場合は、電工の歩掛りを1.5倍して用いる。 　　　6.「その他」の率対象は、電工とする。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,-RE7-,,,,,,,,,
