表　RE-1-12 【市】 　600V絶縁ケーブル (EM-EEF、EM-EE、VVF、VVR),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
(１)木造部分にサドル止め又はステープル止め,,,,,,,,,
,,,,,,,,,
細　目,摘　要,,単位,材　料,,雑材料,電工 ［人］,その他,備考
,,,,600V絶縁ケーブル ［ｍ］,,,,,
,1.6㎜-2Ｃ,,,,,,0.02,,
,2.0㎜-2Ｃ,,,,,,0.025,,
,2.6㎜-2Ｃ,,,,,１式,0.031,,
600V絶縁ケーブル,1.6㎜-3Ｃ,,ｍ,1.1,,(材料価格 ×0.03),0.025,１式,
,2.0㎜-3Ｃ,,,,,,0.03,,
,2.6㎜-3Ｃ,,,,,,0.038,,
,,,,,,,,,
(２)コンクリート部分にサドル止め(カールプラグを含む),,,,,,,,,
細　目,摘　要,,単位,材　料,,雑材料,電工 ［人］,その他,備考
,,,,600V絶縁ケーブル ［ｍ］,,,,,
,1.6㎜-2Ｃ,,,,,,0.026,,
,2.0㎜-2Ｃ,,,,,１式 (材料価格 ×0.03),0.033,,
600V絶縁ケーブル,2.6㎜-2Ｃ,,ｍ,1.1,,,0.042,１式,
,1.6㎜-3Ｃ,,,,,,0.033,,
,2.0㎜-3Ｃ,,,,,,0.041,,
,2.6㎜-3Ｃ,,,,,,0.051,,
,,,,,,,,,
(３)天井、ピット内配線,,,,,,,,,
細　目,摘　要,,単位,材　料,,雑材料,電工 ［人］,その他,備考
,,,,600V絶縁ケーブル ［ｍ］,,,,,
,1.6㎜-2Ｃ,,,,,,0.01,,
,2.0㎜-2Ｃ,,,,,１式 (材料価格 ×0.03),0.013,,
600V絶縁ケーブル,2.6㎜-2Ｃ,,ｍ,1.1,,,0.017,１式,
,1.6㎜-3Ｃ,,,,,,0.013,,
,2.0㎜-3Ｃ,,,,,,0.017,,
,2.6㎜-3Ｃ,,,,,,0.021,,
,,,,,,,,,
(４)管内配線,,,,,,,,,
細　目,摘　要,,単位,材　料,,雑材料,電工 ［人］,その他,備考
,,,,600V絶縁ケーブル ［ｍ］,,,,,
,1.6㎜-2Ｃ 2.0㎜-2Ｃ 2.6㎜-2Ｃ,,,,,１式,0.013 0.017 0.021,,
600V絶縁ケーブル,1.6㎜-3Ｃ 2.0㎜-3Ｃ 2.6㎜-3Ｃ,,ｍ,1.1,,(材料価格 ×0.03),0.017 0.021 0.026,１式,
(注)1.その他の管内配線の場合は、600Vポリエチレンケーブルの電工の歩掛りを用いる。,,,,,,,,,
　　　2.ケーブルラック配線の場合は、管内配線の電工の歩掛りを 1.2倍して用いる。,,,,,,,,,
　　　3.合成樹脂製可とう電線管(PF管、CD管)内配線の場合は、管内配線の電工の歩掛りを0.9,,,,,,,,,
　　　　倍して用いる。,,,,,,,,,
　　　4.「その他」の率対象は、電工とする。,,,,,,,,,
-RE8-,,,,,,,,,
