(接地工事) 表　RE-1-13 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
　接地工事(雷保護設備),,,,,,,,,,,,,,
,,,摘　要,,単位,材　料,,,雑 　 材 　 料,電 　 工,普 通 作 業 員,そ 　 の 　 他,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,接 地 銅 板,銅 覆 鋼 棒,接 地 極 埋 設 標,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,細　目,,,,,,,,,,,,備　考
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,［枚］,［組］,［枚］,,［人］,［人］,,,
,,,,,,,,,,,,,,
,,,900×900×1.5ｔ,,,1,,,,1.53,3.58,,,
,,,,,,,,,,,,,,
,,銅板式,500×500×1.5ｔ,,か所,1,,,１式,0.826,1.2,,,
,,,500×250×1.5ｔ,,,1,,,材 料 価 格,0.609,1.03,,,
,,,,,,,,,,,,,,
,,,単独打込 ２連結打込,,か所,,11,,,0.183 0.287,－ －,,,
,,打込式,,,,,,,,,,,,
,,,３連結打込,,,,1,,,0.383,－,１式,,
,,,黄銅板製,,枚,,,1,× 0.02,0.307,－,,測定共,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,測　定,
,接地極埋設標,,,,,,,,,,,,0.223人,
,,,,,,,,,,,,,埋設標,
,,,,,,,,,,,,,0.084人,
,,,,,,,,,,,,,,
(注) 　1.「その他」の率対象は、電工及び普通作業員とする。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,-RE9-,,,,,,,
