表　RE-2-2 【設】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,ＨＩＤ灯器具(ア),,,,,,,,,,,,
細　目,,摘　要,,,単位,,,材　料,,雑 　 材 　 料,電 　 工,そ 　 の 　 他,備考
,,,,,,,,Ｈ Ｉ Ｄ 灯 器 具,灯 具 昇 降 装 置,,,,
,,,,,,,,［個］,,,［人］,,
,,投光器,,400Ｗ以下,,,,1,,,1.43,,
,,投光器,,1000Ｗ以下,,,,1,,,1.74,,
,,直付,,250Ｗ以下,,,,1,,,0.304,,
,,直付 直付,,400Ｗ以下 1000Ｗ以下,,,,11,,１式 材 料 価 格,0.348 0.417,,
ＨＩＤ灯器具,,ﾊﾟｲﾌﾟﾍﾟﾝﾀﾞﾝﾄ 250Ｗ以下 ﾊﾟｲﾌﾟﾍﾟﾝﾀﾞﾝﾄ 400Ｗ以下,,,個,,,11,,,0.330 0.391,１式,
,,ﾊﾟｲﾌﾟﾍﾟﾝﾀﾞﾝﾄ 1000Ｗ以下,,,,,,1,,,0.47,,
,,埋込,,　150Ｗ以下,,,,1,,×,0.24,,
,,埋込,,　250Ｗ以下,,,,1,,0.02,0.357,,
,,埋込,,　400Ｗ以下,,,,1,,,0.409,,
,,昇降装置,,,個,,,,1,,0.2,,
灯具昇降装置,,滑 車,,,,,,,1,,0.08,,
,,ワイヤー,,,ｍ,,,,1,,0.02,,
(注)　1.安定器を含む。 　　　　2.「その他」の率対象は、電工とする。,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,-RE11-,,,,,,,,
