表　RE-2-3 【設】 　ＨＩＤ灯器具(イ),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,摘　要,,,,単位,,材　料,,,,,,雑材料,電工 ［人］,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ｈ Ｉ Ｄ 灯 ［個］,ポール,,,,,,,,,,,
,,細　目,,,,,,,,Ｔ 3.5 ［本］,Ｔ 4 ［本］,Ｔ 4.5 ［本］,Ｔ 5 ［本］,Ｔ 5.5 ［本］,,,その他,,,,備　考
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,ポールライト 100Ｗ,,,,灯,,1,1,,,,,１式 材 料 価 格 × 0.02,1.51,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,100Ｗ,,,,,,1,,1,,,,,1.51,,,,,
,,,200Ｗ,,,,,,1,,,1,,,,1.78,,,,,
,,,200Ｗ,,,,,,1,,,,1,,,1.78,,,,,
,,,200Ｗ,,,,,,1,,,,,1,,1.78,,,,,
,,,250Ｗ,,,,,,1,,,1,,,,1.84,,,,,
,ＨＩＤ灯器具,,250Ｗ 250Ｗ,,,,,,11,,,,1,1,,1.84 1.84,,１式,,,
,,,,,,,,,,,,,,,,,,,,,
,,,300Ｗ 300Ｗ,,,,,,11,,,1,1,,,2.02 2.02,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,300Ｗ,,,,,,1,,,,,1,,2.02,,,,,
,,,400Ｗ,,,,,,1,,,1,,,,2.02,,,,,
,,,400Ｗ,,,,,,1,,,,1,,,2.02,,,,,
,,,400Ｗ,,,,,,1,,,,,1,,2.02,,,,,
,,,,,,,,,,,,,,,,,,,,,
(注)　1.安定器は内蔵とする。 　　　　2.基礎は別途とする。 　　　　3.「その他」の率対象は、電工とする。,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
表　RE-2-4 【設】,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
　ガーデンライト,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
細　目,,,摘　要,,,単位,,材　料,,,,,雑材料,,,電工 ［人］,その他,,,備考,
,,,,,,,,ガーデンライト ［灯］,,,,,,,,,,,,,
ガーデンライト,,,１灯形,,,灯,,1,,,,,１式 (材料価格× 0.02),,,0.755,１式,,,,
,,,２灯形,,,,,1,,,,,,,,0.906,,,,,
(注)　1.高さは２ｍ以下とする。 　　　　2.基礎は別途とする。 　　　　3.「その他」の率対象は、電工とする。,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-RE12-,,,,,,,,,,,
