表　RE-2-5 【設】 　蛍光灯器具(ア),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
細　目,,摘　要,単位,材　料,雑材料,電工 ［人］,その他,備考
,,,,蛍光灯器具 ［個］,,,,
,,,,,,,,
,,,,,,,,
,,ＦＬ 10Ｗ×1,,1,,0.113,,
,,ＦＬ　20Ｗ×1,,1,,0.13,,
,,ＦＬ　30Ｗ×1,個,1,,0.139,,
,,ＦＬ　40Ｗ×1,,1,,0.209,,
,,ＦＬ 110Ｗ×1,,1,,0.391,,
,,ＦＬ 10Ｗ×2,,1,,0.139,,
,,ＦＬ　20Ｗ×2,,1,１式,0.165,,
,,ＦＬ　30Ｗ×2,個,1,材 料 価 格,0.183,,
,,ＦＬ 40Ｗ×2,,1,,0.261,,
,,ＦＬ 110Ｗ×2,,1,,0.478,,
,,ＦＬ 10Ｗ×3,,1,,0.174,,
　蛍光灯器具(露出形),,ＦＬ　20Ｗ×3,個,1,×,0.209,１式,
,,ＦＬ 40Ｗ×3,,1,0.05,0.339,,
,,ＦＬ 110Ｗ×3,,1,,0.609,,
,,ＦＬ 10Ｗ×4,,1,,0.243,,
,,ＦＬ　20Ｗ×4,個,1,,0.304,,
,,ＦＬ 40Ｗ×4,,1,,0.443,,
,,,,,,,,
,,ＦＬ 110Ｗ×4,,1,,0.87,,
,,ＦＬ　20Ｗ×5,,1,,0.304,,
,,ＦＬ 40Ｗ×5,個,1,,0.443,,
,,ＦＬ 110Ｗ×5,,1,,0.87,,
,,ＦＬ　20Ｗ×6,,1,,0.304,,
,,ＦＬ 40Ｗ×6,個,1,,0.443,,
,,ＦＬ 110Ｗ×6,,1,,0.87,,
(注)1.連結器具については、連結数倍とする。,,,,,,,,
　　　2.蛍光灯器具に白熱灯が内蔵された照明器具であって、白熱灯用として専用の電源が供給さ 　　　　れている照明器具は、電工の歩掛りに0.05人／個を加算する。 　　　3.照明制御器を内蔵した照明器具及び別に設置された照明制御器等からの信号により制御さ 　　　　れている照明器具は、電工の歩掛りに0.05人／個を加算する。 　　　4.インサート、つりボルト等の取付けを含む。 　　　5.金属線ぴに取付ける場合は、電工の歩掛りを0.8倍して用いる。 　　　6.環形蛍光灯器具の場合にも用いる。 　　　7.「その他」の率対象は、電工とする。,,,,,,,,
,,,,,,,,
,,,-RE13-,,,,,
