表 RA - 2 -20 【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,埋戻し 山留め付き総掘り(バックホウ0.8ｍ3)                    (1ｍ3当たり),,,,,
名 称,,摘 要,単位,所要量,,備 考
バックホウ運転,,0.8ｍ3,日,0.0067,,
振動ローラ運転,,0.8～1.1t,日,0.016,,
締 固 め,,タンパ,ｍ3,0.1,,締固めによる
普通作業員,,,人,0.016,,
そ の 他,,,式,1,,
(注)１.「その他」の率対象は、普通作業員とする。,,,,,,
,,,,,,
表 RA - 2 -21 【専】,,,,,,
,埋戻し 法付き総掘り(バックホウ0.8ｍ3)                        (1ｍ3当たり),,,,,
名 称,,摘 要,単位,所要量,,備 考
バックホウ運転,,0.8ｍ3,日,0.0067,,
振動ローラ運転,,0.8～1.1t,日,0.016,,
締 固 め,,タンパ,ｍ3,0.1,,締固めによる
普通作業員,,,人,0.016,,
そ の 他,,,式,1,,
(注)１.「その他」の率対象は、普通作業員とする。,,,,,,
,,,,,,
表 RA - 2 -22 【市】,,,,,,
,埋戻し 小規模土工(バックホウ0.28ｍ3)                         (1ｍ3当たり),,,,,
名 称,,摘 要,単位,所要量,,備 考
バックホウ運転,,0.28ｍ3,日,0.02,,
締 固 め,,タンパ,ｍ3,1,,締固めによる
普通作業員,,,人,0.04,,
そ の 他,,,式,1,,
(注)１.「その他」の率対象は、普通作業員とする。,,,,,,
表 RA - 2 -23【専】,,,,,,
埋戻し 小規模土工(バックホウ0.13ｍ3),,,,,,(1ｍ3当たり)
名 称,,摘 要,単位,所要量,,備 考
バックホウ運転,,0.13ｍ3,日,0.033,,
締 固 め,,タンパ,ｍ3,1,,締固めによる
普通作業員,,,人,0.04,,
そ の 他,,,式,1,,
(注)１.「その他」の率対象は、普通作業員とする。,,,,,,
,,,,,,
,,,,,- RA 8 -,
