表　RE-2-8 【設】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
　Ｈｆ蛍光灯器具,,,,,,,,
細　目,,摘　要,単位,材　料,雑材料,電工 ［人］,その他,備考
,,,,Ｈｆ蛍光灯器具 ［個］,,,,
,,ＦＨＦ 16Ｗ×1,,1,,0.117,,
,,ＦＨＦ 32Ｗ×1,個,1,,0.178,,
Ｈｆ蛍光灯器具(露出形),,ＦＨＦ 86Ｗ×1,,1,,0.332,,
,,ＦＨＦ 16Ｗ×2,個,1,,0.149,,
,,ＦＨＦ 32Ｗ×2,,1,,0.222,,
,,ＦＨＦ 32Ｗ×6,個,1,,0.377,,
,,ＦＨＦ 16Ｗ×1,,1,,0.18,,
,,ＦＨＦ 32Ｗ×1,個,1,,0.266,,
Ｈｆ蛍光灯器具(埋込形),,ＦＨＦ 86Ｗ×1,,1,,0.502,,
,,ＦＨＦ 16Ｗ×2,個,1,,0.227,,
,,ＦＨＦ 32Ｗ×2,,1,１式,0.332,,
,,ＦＨＦ 32Ｗ×6,個,1,材,0.57,,
,,ＦＨＰ 32Ｗ×3,個,1,,0.178,,
,,ＦＨＰ 45Ｗ×4,,1,料 価 格,0.258,,
,,ＦＨＴ 16Ｗ×1,,1,,0.13,１式,
Ｈｆｺﾝﾊﾟｸﾄ蛍光灯器具 　(露出形),,ＦＨＴ 24Ｗ×1,個,1,×,0.13,,
,,ＦＨＴ 32Ｗ×1,,1,0.05,0.13,,
,,ＦＨＴ 42Ｗ×1,,1,,0.13,,
,,ＦＨＴ 42Ｗ×2,個,1,,0.15,,
,,ＦＨＴ 42Ｗ×3,個,1,,0.176,,
,,ＦＨＴ 42Ｗ×4,個,1,,0.195,,
,,ＦＨＰ 32Ｗ×3,個,1,,0.266,,
,,ＦＨＰ 45Ｗ×4,,1,,0.392,,
,,ＦＨＴ 16Ｗ×1,,1,,0.209,,
Ｈｆｺﾝﾊﾟｸﾄ蛍光灯器具 　 (埋込形),,ＦＨＴ 24Ｗ×1,個,1,,0.209,,
,,ＦＨＴ 32Ｗ×1,,1,,0.209,,
,,ＦＨＴ 42Ｗ×1,,1,,0.209,,
,,ＦＨＴ 42Ｗ×2,個,1,,0.24,,
,,ＦＨＴ 42Ｗ×3,個,1,,0.282,,
,,ＦＨＴ 42Ｗ×4,個,1,,0.314,,
(注)1.半埋込器具にも適用する。 　　　2.埋込器具の補強材等の取付けは含まない。 　　　3.連結器具については、連結数倍とする。 　　　4.蛍光灯器具に白熱灯が内蔵された照明器具であって、白熱灯用として専用の電源が供給さ 　　　　れている照明器具は、電工の歩掛りに0.05人／個を加算する。 　　　5.照明制御器を内蔵した照明器具及び別に設置された照明制御器等からの信号により制御さ 　　　　れている照明器具は、電工の歩掛りに0.05人／個を加算する。 　　　6.インサート、つりボルト等の取付けを含む。 　　　7.金属線ぴに取付ける場合は、電工の歩掛りを0.8倍して用いる。 　　　8.システム天井用器具は、電工の歩掛りを0.6倍して用い、雑材料は算出しない。 　　　9.「その他」の率対象は、電工とする。,,,,,,,,
,,,,,,,,
,,,-RE16-,,,,,
