(動力設備) 表　RE-2-11 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　電動機その他接続材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
細　目,摘　要,,単位,材　料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,電工 ［人］,その他,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,二種金属製可とう電線管,,,,,,,,,,カップリング,,,,,,,,,,,,,,,,,,,,,,,,,ボックスコネクタ,,,,,,,,,,ロックナット,,,,,,,,,,ブッシング,,,,,,,,,,,,,,
,,,,Ｆ2 (15) ［m］,Ｆ2 (17) ［m］,Ｆ2 (24) ［m］,Ｆ2 (30) ［m］,Ｆ2 (38) ［m］,Ｆ2 (50) ［m］,Ｆ2 (63) ［m］,Ｆ2 (76) ［m］,Ｆ2 (83) ［m］,Ｆ2 (101) ［m］,E (19) ｜ Ｆ2 (17) ［個］,E (25) ｜ Ｆ2 (24) ［個］,E (31) ｜ Ｆ2 (30) ［個］,E (39) ｜ Ｆ2 (38) ［個］,E (51) ｜ Ｆ2 (50) ［個］,E (63) ｜ Ｆ2 (63) ［個］,E (75) ｜ Ｆ2 (76) ［個］,C (19) ｜ Ｆ2 (17) ［個］,C (25) ｜ Ｆ2 (24) ［個］,C (31) ｜ Ｆ2 (30) ［個］,C (39) ｜ Ｆ2 (38) ［個］,C (51) ｜ Ｆ2 (50) ［個］,C (63) ｜ Ｆ2 (63) ［個］,C (75) ｜ Ｆ2 (76) ［個］,G (16) ｜ Ｆ2 (15) ［個］,G (16) ｜ Ｆ2 (17) ［個］,G (22) ｜ Ｆ2 (24) ［個］,G (28) ｜ Ｆ2 (30) ［個］,G (36) ｜ Ｆ2 (38) ［個］,G (42) ｜ Ｆ2 (50) ［個］,G (54) ｜ Ｆ2 (63) ［個］,G (70) ｜ Ｆ2 (76) ［個］,G (82) ｜ Ｆ2 (83) ［個］,G (92) ｜ Ｆ2 (101) ［個］,G (104) ｜ Ｆ2 (101) ［個］,(15) ［個］,(17) ［個］,(24) ［個］,(30) ［個］,(38) ［個］,(50) ［個］,(63) ［個］,(76) ［個］,(83) ［個］,(101) ［個］,(19) ｜ (16) ［個］,(25) ｜ (22) ［個］,(31) ｜ (28) ［個］,(39) ｜ (36) ［個］,(51) ｜ (42) ［個］,(63) ｜ (54) ［個］,(75) ｜ (70) ［個］,(82) ［個］,(92) ［個］,(104) ［個］,(19) ｜ (16) ［個］,(25) ｜ (22) ［個］,(31) ｜ (28) ［個］,(39) ｜ (36) ［個］,(51) ｜ (42) ［個］,(63) ｜ (54) ［個］,(75) ｜ (70) ［個］,(82) ［個］,(92) ［個］,(104) ［個］,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,備,考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E(19) －F2(17),,,,0.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,0.029,,,,
,E(25) －F2(24),,,,,0.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,0.037,,,,
,E(31) －F2(30),,,,,,0.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,0.045,,,,
,E(39) －F2(38),,,,,,,0.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,0.052,,,,
,E(51) －F2(50),,,,,,,,0.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,0.083,,,,
,E(63) －F2(63),,,,,,,,,0.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,0.11,,,,
,E(75) －F2(76),,,,,,,,,,0.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,0.13,,,,
,C(19) －F2(17),,,,0.5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,0.029,,,,
,C(25) －F2(24),,,,,0.5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,0.037,,,,
,C(31) －F2(30),,,,,,0.5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,0.045,,,,
,C(39) －F2(38),,,,,,,0.5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,0.052,,,,
,C(51) －F2(50),,,,,,,,0.5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,0.083,,,,
接続材料,C(63) －F2(63),,か所,,,,,,,0.5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,0.11,１式,,,
,C(75) －F2(76),,,,,,,,,,0.5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,0.13,,,,
,G(16) －F2(15),,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,0.023,,,,
,G(16) －F2(17),,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,0.029,,,,
,G(22) －F2(24),,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,0.037,,,,
,G(28) －F2(30),,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,0.045,,,,
,G(36) －F2(38),,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,0.052,,,,
,G(42) －F2(50),,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,0.083,,,,
,G(54) －F2(63),,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,0.11,,,,
,G(70) －F2(76),,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,0.13,,,,
,G(82) －F2(83),,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,0.15,,,,
,G(92) －F2(101),,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,0.17,,,,
,G(104)－F2(101),,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,0.17,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(注)　1.「その他」の率対象は、電工とする。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
