Unnamed: 0,(架空線路) 表　RE-2-12 【設】,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,,建柱(ア)(建柱車利用),,,,,,,,,,,,
,,,,,,,,,,,,,,
細　目,,,摘要,,単位,,材料,雑材料,,,電 工 ［人］,普 通 作 業 員 ［人］,そ 　 の 　 他,備　考
,,,,,,,木柱 ［本］,,,,,,,
,,,6ｍ,,,,1,,,,0.27,0.099,,
,,,7ｍ,,,,1,１式 (材料価格×0.02),,,0.27,0.099,,
木柱,,,8ｍ,,本,,1,,,,0.313,0.117,１式,
,,,9ｍ,,,,1,,,,0.313,0.117,,
,,,10ｍ,,,,1,,,,0.391,0.141,,
,(注)1.建柱車の使用については、現地の状況を十分検討の上、その適否を決定する。 　　　2.建柱車の損料は、請負工事機械経費積算要領に定める「建設機械等損料算定表」により別 　　　　途計上する。 　　　3.「その他」の率対象は、電工及び普通作業員とする。,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,表　RE-2-13 【設】,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,建柱(イ)(人力),,,,,,,,,,,,
細　目,,,摘要,,単位,,材料,雑材料,,,電 工 ［人］,普 通 作 業 員 ［人］,そ 　 の 　 他,備　考
,,,,,,,木柱 ［本］,,,,,,,
,,,6ｍ,,,,1,,,,0.461,0.252,,
,,,7ｍ,,,,1,１式 (材料価格×0.02),,,0.565,0.296,,
木柱,,,8ｍ,,本,,1,,,,0.696,0.339,１式,
,,,9ｍ,,,,1,,,,0.809,0.426,,
,,,10ｍ,,,,1,,,,1.05,0.539,,
,(注)1.「その他」の率対象は、電工及び普通作業員とする。,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,-RE19-,,,,,
