Unnamed: 0,(地中線路) 表　RE-2-15 【設】,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
,,地中管路,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
細　目,,,,,摘　要,単位,,材 料,,,,雑 　 材 　 料,電 工 ［人］,そ 　 の 　 他,備考
,,,,,,,,コ ン ク リ ト ト ラ フ ［本］,ポ リ エ チ レ ン 被 覆 鋼 管 ［ｍ］,,附 属 品,,,,
,,,,,幅120mm,,,2,,,,,0.128,,
,,,,,幅150mm,,,2,,,,,0.157,,
,,,,,幅200mm,,,2,,,,,0.183,,
コンクリートトラフ,,,,,,ｍ,,,,,,,,,
,,,,,幅250mm,,,2,,,,１式,0.209,,
,,,,,幅300mm,,,2,,,,,0.226,,
,,,,,幅400mm,,,2,,,,材,0.243,,
,,,,,呼径 25A,,,,,,１式,料 価,0.07,,
,,,,,呼径 32A,,,,,,,格,0.087,１式,
,,,,,呼径 40A,,,,,,管,×,0.096,,
ポリエチレン被覆鋼管,,,,,呼径 50A,,,,,,価,0.02,0.113,,
(PLP),,,,,呼径 65A,ｍ,,,1.05,,格,,0.139,,
,,,,,呼径 80A,,,,,,×,,0.183,,
,,,,,呼径100A,,,,,,0.15,,0.243,,
,,,,,呼径125A,,,,,,,,0.287,,
,,,,,呼径150A,,,,,,,,0.348,,
,(注)　1.管の敷設及び接続を含む。 　　　　2.コンクリートトラフは、砂の充填を含む。 　　　　3.掘削及び埋戻しは含まない。 　　　　4.「その他」の率対象は、電工とする。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,-RE21-,,,,,,,,
