３.【第３節　通信・情報設備工事】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
３－１　一般事項,,,,,,,,,,
本節に定める参考歩掛りにおける仕様は、公共建築工事標準仕様書による。,,,,,,,,,,
３－２　参考歩掛り,,,,,,,,,,
(１)適用条件及び留意事項,,,,,,,,,,
イ.テレビ共同受信設備に適用する。,,,,,,,,,,
ロ.テレビ共同受信設備の参考歩掛りの労務は、機材の取付け、結線及び試験調整を含む。,,,,,,,,,,
(２)細目工種,,,,,,,,,,
(テレビ共同受信設備),,,,,,,,,,
表　RE-3-1 【設】,,,,,,,,,,
,,,,,,,,,,
　テレビ共同受信,,,,,,,,,,
,,,,,,,,,,
細　目,摘要,,単位,材　料,雑材料,,,電工 ［人］,その他,備　考
,,,,直列ユニット ［個］,,,,,,
直列ユニット,中間,,個,1,１式 (材料価格×0.02),,,0.15,１式,プレートは、 樹脂製、ステンレ ス製又は新金属製 とする。
,端末,,,1,,,,0.133,,
(注)　1.総合調整費は、機器取付け労務費合計の20％とする。 　　　　2.「その他」の率対象は、電工とする。,,,,,,,,,,
,,,,,,,,,,
,,,,,-RE22-,,,,,
