第４編　機械設備工事,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
１.【第１節　共通工事】,,,,,,,,,,,,,,,,
１－１　一般事項,,,,,,,,,,,,,,,,
(１)本節に定める参考歩掛りにおける仕様は、公共建築工事標準仕様書による。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
１－２　参考歩掛り,,,,,,,,,,,,,,,,
(１)適用条件及び留意事項,,,,,,,,,,,,,,,,
イ.配管工事に適用する。,,,,,,,,,,,,,,,,
ロ.配管類及びダクト類の保温工事に適用する。,,,,,,,,,,,,,,,,
ハ.対象配管がステンレス鋼鋼管及び銅管の場合における本歩掛りの呼び径適用は,,,,,,,,,,,,,,,,
　表ＲＭ－１－１による。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
表ＲＭ－１－１【市】,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,呼び径適用,,,,,,,,,,,,,,,
,,,,,,呼,,び,,,,径,,,,
鋼管,,15A,20.0,25.0,32.0,40,50,65,,80.0,100.0,125,150.0,200,250,300
ｽﾃﾝﾚｽ鋼鋼管,,20SU,25.0,30.0,40.0,50,60,75,,80.0,100.0,125,150.0,200,250,300
銅管,,20CU,25.0,32.0,40.0,－,50,65,,80.0,100.0,125,150.0,－,－,－
,,,,,,,,,,,,,,,,
,(２)細目工種,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,- ＲM 1 -,,,,,,,,,
