表 RA - 2 -24 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,盛土 (バックホウ0.8ｍ3)                                      (1ｍ3当たり),,,,,,
名 称,,,摘 要,単位,所要量,,備 考
バックホウ運転,,,0.8ｍ3,日,0.0067,,
振動ローラ運転,,,0.8～1.1t,日,0.016,,
締 固 め,,,タンパ,ｍ3,0.1,,締固めによる
普通作業員,,,,人,0.016,,
そ の 他,,,,式,1,,
(注)１.建物内部及び建物周囲に適用する。,,,,,,,
,,２.「その他」の率対象は、普通作業員とする。,,,,,
,,,,,,,
表 RA - 2 -25 【専】,,,,,,,
,盛土 (バックホウ0.45ｍ3)                                     (1ｍ3当たり),,,,,,
名 称,,,摘 要,単位,所要量,,備 考
バックホウ運転,,,0.45ｍ3,日,0.011,,
振動ローラ運転,,,0.8～1.1t,日,0.016,,
締 固 め,,,タンパ,ｍ3,0.1,,締固めによる
普通作業員,,,,人,0.016,,
そ の 他,,,,式,1,,
(注)１.建物内部及び建物周囲に適用する。,,,,,,,
,,,,,,,
,,２.「その他」の率対象は、普通作業員とする。,,,,,
,,,,,,,
(敷きならし、締固め及びすきとり) 表 RA - 2 -26 【専】,,,,,,,
,敷きならし(ブルドーザ15t級)                                (1ｍ3当たり),,,,,,
名 称,,,摘 要,単位,所要量,,備 考
ブルドーザ運転,,,15t級,日,0.0035,,
普通作業員,,,,人,0.003,,
そ の 他,,,,式,1,,
(注)１.締固めが必要な場合は、別途加算する。,,,,,,,
,,,,,,,
,,２.「その他」の率対象は、普通作業員とする。,,,,,
,,,,,,,
,,,,,,- RA 9 -,
