表ＲＭ－１－３【設】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
排水用鋳鉄管,,,,,,,,,,,,
,　差込み形ＲＪ管,,,,,,,,,,,
摘要,,,,単位,材 管 [ ｍ ] 継 手,,料 接合材等,,支持金物,配管工 [人],はつり補修,その他
施工箇所,,呼び径,,,,,,,,,,
,,75,,,１式 (管単価× 0.96),,,,,0.376,,
機械室・便所配管,,100,,ｍ,１式 1.05 (管単価× 0.86),,－,,１式 (管単価× 0.20),0.386,１式 (労務費× 0.08),１式
,,125,,,１式 (管単価× 0.73),,,,,0.395,,
(注)　1.　「その他」の率対象は、配管工及びはつり補修とする。,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,- ＲM 3 -,,,,,,
