Unnamed: 0,Unnamed: 1,配管保温(ポリスチレンフォーム) 　給水管、排水管(2/8),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,摘,,,,要,,,,,,,,,,,材,,,,料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,雑 材 料,,,,,,,運 搬 費,,,,,保 温 工 ［人］,,,,,,,,ダ,,,,,,,
,,,,保 温 材 質,,施呼,,,,,,単,,,,ポリスチレン 合成樹脂製カバー２,,,,,,,,,,,,,,,,,,,,,,,,,,,,そ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ク,,,,,,,
,区,,,,,工,,,,,,,,,,フォーム 粘着 (ジャケットタイプ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,び,,,,,,,,,,,保温筒［ｍ］ テ粘ー着プ ［ｍ］,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,トの,,,,,,
,,,,,,,,,,,,位,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,分,,,,,箇,,,,,,,,,,［ｍ］,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,工,,,,,,,
,,,,,,所径,,,,,,,,,,20厚 25厚 20厚用 25厚用,,,,,,,,,,,,,,,,,,,,,,,,,,,,他,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,［人］,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.03,,,－,,3.5,,1.05,,－,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,3.0,9.0,,,,0.0,.,,2.0,6.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
