Unnamed: 0,Unnamed: 1,Unnamed: 2,配管保温(ポリスチレンフォーム) 　給水管、排水管(5/8),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,,,,,,,,,,,,,材,,料,,雑 材 料,運 搬 費,保 温 工 ［人］,,,,
,,,,,摘,,,,要,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,保 区温 分材 質,,,,,,施 呼 単,,,,呼 び 径,単 位,アルミガラス クロス化粧 保温筒［ｍ］,,アルミガラス クロス粘着 テープ［ｍ］,,,,,,,,そ
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,工,,,,,,,,,,,,,,,,の
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,箇,,,,,,,,,,,,,,,,
,,,,,,,,所,,,,,,20厚,25厚,60幅,100幅,,,,,,,他
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,,1.03,－,1.6,－,,,0.039,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,20,,1.03,－,1.6,－,,,0.042,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,25,,1.03,－,1.6,－,,,0.043,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,32,,1.03,－,1.7,－,,,0.044,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,天,,,,,,,,,,,,１,,,,,
,,,,,,,井,,,,,40,,1.03,－,1.7,－,,式,0.048,,,,
,,,,,,,内,,,,,,,,,,,,,,,,,
,,,,,,,、,,,,,,,,,,,,,,,,,
,,,,ポ,,,パ,,,,,50,,1.03,－,1.8,－,１,材,0.051,,,,
給,,,,リ,,,イ,,,,,,,,,,,式,料,,,,,
水,,,,ス,,,プ,,,,,,,,,,,,費,,,,,
管,,,,チ,,,シ,,,,,65,,1.03,－,1.9,－,材,＋,0.057,,,,1 式
、,,,,レ,,,,,,,,,m,,,,,料,雑,,,,,
排,,,,ン,,,,フ ト 内 及 び 空 隙 壁 中,,,,80,,1.03,－,1.9,－,費 ×,材 料,0.062,,,,
水,,,,フ,,,,,,,,,,,,,,,,,,,,
管,,,,ム,,,,,,,,,,,,,,0.05,費,,,,,
,,,,,,,,,,,,100,,－,1.03,2.2,－,,,0.083,,,,
,,,,,,,,,,,,,,,,,,,×,,,,,
,,,,,,,,,,,,125,,－,1.03,2.3,－,,0.03,0.102,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,150,,－,1.03,2.5,－,,,0.119,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,200,,－,1.03,－,2.7,,,0.166,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,250,,－,1.03,－,3,,,0.199,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,300,,－,1.03,－,3.3,,,0.234,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,(注)　1.　「その他」の率対象は、材料、雑材料、運搬費及び保温工とする。,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,- ＲM 8 -,,,,,,,
