Unnamed: 0,配管保温(ポリスチレンフォーム) 　給水管、排水管(6/8),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
摘,,,要,,単 位,材料,,,,,,,,,,,,雑 材 料,運 搬 費,保 温 工 ［人］,そ の 他
区 分,,保 温 材 質,施 工 箇 所,呼 び 径,,ポリスチレンフォーム 保温筒［ｍ］,,粘着 テープ ［ｍ］,ポリエチレンフィルム ［ｍ］,,,,,着色アルミガラスクロス ［ｍ］,,,,,,,
,,,,,,20厚,25厚,,100幅,125幅,150幅 200幅 250幅,,,75幅,100幅,125幅 150幅,,,,,
,,,,15,,1.03,－,3.5,5.1,－,－,－,－,4.3,－,－,－,,,0.078,
,,,,20,,1.03,－,3.6,5.4,－,－,－,－,4.7,－,－,－,,,0.081,
,,,,25,,1.03,－,3.7,6,－,－,－,－,－,3.6,－,－,,,0.09,
,,,,32,,1.03,－,3.9,6.6,－,－,－,－,－,4,－,－,,１,0.095,
,,,暗,40,,1.03,－,4,7,－,－,－,－,－,4.3,－,－,,式 材 料,0.103,
給,,ポ リ ス チ レ ン フ ム,渠 内,50,,1.03,－,4.2,7.9,－,－,－,－,－,4.9,－,－,１ 式,,0.113,
水 管 、 排 水,,,ピ ッ ト 内 を,6580,m,1.03 1.03,－ －,4.5 4.7,－ －,7.2 8.0,－ －,－ －,－ －,－ －,－ －,4.3 4.8,－ －,材 料 費 ×,費 ＋ 雑 材 料 費 × 0.03,0.122 0.135,1 式
管,,,含 む,100125,,－ －,1.03 1.03,5.4 5.9,－ －,10.0 －,－ 9.6,－ －,－ －,－ －,－ －,6.0 －,－ 5.7,0.05,,0.177 0.206,
,,,,150,,－,1.03,6.4,－,－,10.8,－,－,－,－,－,6.4,,,0.236,
,,,,200,,－,1.03,7.1,－,－,－,9.9,－,－,－,－,8,,,0.308,
,,,,250,,－,1.03,8.1,－,－,－,11.7,－,－,－,－,9.5,,,0.407,
,,,,300,,－,1.03,8.9,－,－,－,－,10.9,－,－,－,11.1,,,0.523,
(注)　1.　「その他」の率対象は、材料、雑材料、運搬費及び保温工とする。,,,,,,,,,,,,,,,,,,,,,
