Unnamed: 0,配管保温(ポリスチレンフォーム) 　給水管、排水管(8/8),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,保 温 工 ［人］,ダ ク ト 工 ［人］,,
,,,摘,,,,要,,,,,,,,,材,,,,,,,,,料,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,雑,,,,,運,,,,,そ
,,,,保 温 材 質,,施 工 箇 所,,,,呼 び 径,単 位,ポリスチレンフォーム 保温筒［ｍ］,,,粘着 テープ ［ｍ］,,,,,,,,,,,,,,,ステンレス,,,,,,,,,,,,,,,
,区,,,,,,,,,,,,,,,,,,,,ポリエチレンフィルム,,,,,,,,,鋼板,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,［ｍ］,,,,,,,,,［ｍ２］,,,,,材,,,,,搬,,,,,の
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,分,,,,,,,,,,,20厚,,25厚,,,,100幅 125幅 150幅 200幅 250幅,,,,,,,,,,,,,0.2mm,,,,料,,,,,費,,,,,他
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,15,,1.03,,－,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,0.093,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,5.1,,,－,,－－－,,,,,,,0.34,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,20,,1.03,,－,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,0.099,,
,,,,,,,,,,,,,,,,,,,5.4,,,－,,－－－,,,,,,,0.36,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,25,,1.03,,－,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,0.106,,
屋,,,,,,,,,,,,,,,,,,,6.0,,,－,,－－－,,,,,,,0.39,,,,,,,,,,,,,,
房厨外露,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,32,,1.03,,－,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.068,0.115,,
等房露出,,,,,,,,,,,,,,,,,,,6.6,,,－,,－－－,,,,,,,0.42,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,１,,,,,,,,,
の多バル,,,,,,,,,,40,,1.03,,－,4,,,,,,,,,,,,,,,,,,,,,式,,,,,,0.073,0.121,,
,,,,,,,,,,,,,,,,,,,7.0,,,－,,－－－,,,,,,,0.44,,,,,(,,,,,,,,,
多湿ル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ポ リ ス チ レ ン フ ム,,,箇コ,,,,,50,,1.03,,－,4.2,,,,7.9,,,－,,－－－,,,,,,,0.49,,,,１ 式,,,,,材 料 費 ＋ 雑 材 料 費,,0.08,0.135,,
,,,,,ー所ニ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
給,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水,,,,,、厨房開放,,,,,65,,1.03,,－,4.5,,,,,－,7.2,,,－－－,,,,,,,0.55 材,,,,,,,,,,,0.087,0.151,,
管,,,,,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,材,,,,,,,,,,1 式
、,,,,,の房放,,,,,,,,,,,,,,,,,,,,,,,,,,,,,料,,,,,,,,0.096,0.165,,
排,,,,,の天廊,,,,,80,,1.03,,－,4.7,,,,,－,8,,,－－－,,,,,,,0.6,,,費,,,,,,,,,,,
水,,,,,天井下,,,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,,,,,,,,
管,,,,,内を,,,,,100,,－,,1.03,5.4,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,0.127,0.202,,
,,,,,は内含,,,,,,,,,,,,,,,－,10,,,－－－,,,,,,,0.75,,,,,,,,,×,,,,,
,,,,,。は含む,,,,,125,,－,,1.03,5.9,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.15,0.229,,
,,,,,ま,,,,,,,,,,,,,,,－,,－,9.6 － －,,,,,,,,0.85,,,,,,,,,,,,,,
。いな及び,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,150,,－,,1.03,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169,0.257,,
,,,,,,,,,,,,,,,,,,,,－,,－,10.8,,,－,,,－,,0.95,,,,,,,,,,,,,,
浴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
室,,,,,,,,,,200,,－,,1.03,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.218,0.32,,
,,,,,、,,,,,,,,,,,,,,,－,,－,,－,9.9,,,,－,,1.15,,,,,,,,,,,,,,
,,,,,,,,,,250,,－,,1.03,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289,0.378,,
,,,,,,,,,,,,,,,,,,,,－,,－,,－,11.7,,,,－,,1.36,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,300,,－,,1.03,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.371,0.432,,
,,,,,,,,,,,,,,,,,,,,－,,－,,－ － 10.9,,,,,,,1.56,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(注)　1.　「その他」の率対象は、材料、雑材料、運搬費、保温工及びダクト工とする。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
