Unnamed: 0,Unnamed: 1,Unnamed: 2,配管保温(ポリスチレンフォーム) 　冷水・冷温水管(膨張管を含む。)(6/7),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,保 温 工 ［人］,ダ ク ト 工 ［人］,,
,,,,,摘,,,,要,,,,,,,,,,,,,,材,,,,,,,,料,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,保 区温 分材 質,,,,,,施 工 箇 所,,,,,単,,,,,,,,,,,,,,,,,,,,,カラー亜鉛鉄板又は,,,,,,,,,雑,,,,,運,,,,,そ
,,,,,,,,,,,,呼,,,,,,ポリスチレンフォーム,,,,,,,,,ポリエチレンフィルム,,,,,,,溶融アルミニウム-亜鉛鉄板,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,び,,,,,,保温筒［ｍ］,,,,,粘着 テープ ［ｍ］,,,,［ｍ］,,,,,,,［ｍ２］,,,,,,,,,材,,,,,搬,,,,,の
,,,,,,,,,,,,,位,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,径,,,,30厚,,,40厚 50厚,,,,,,100幅 125幅 150幅 200幅 250幅,,,,,,,,,,0.27mm,,0.35mm,,,,,,料,,,,,費,,,,,他
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.073,0.085,,
,,,,,,,,,,,,15,,,,1.03,,,,－,,－,3.8 6.5,,,,－－,,,－－,,,,,0.42,,,,－,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076,0.089,,
,,,,,,,,,,,,20,,,,1.03,,,,－,,－,3.9 6.9,,,,－－,,,－－,,,,,0.44,,,,－,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.095,,
屋,,,,,,,,,,,,25,,,,1.03,,,,－,,－,4.1 7.4,,,,－－,,,－－,,,,,0.47,,,,－,,,,,,,,,,,,,,
房厨外露,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098,0.117,,
,,,,等房露出,,,,,,,,32,,,,,－,,1.03,,,－,4.6 －,,,,7.6 －,,,－－,,,,,0.58,,,,－,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,１,,,,,,,,,
冷,,,,多のバル,,,,,,,,40,,,,,－,,1.03,,,－,4.7 －,,,,8.0 －,,,－－,,,,,0.6,,,,－,,,,,式,,,,,,0.106,0.121,,
水,,,,多湿ル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(,,,,,,,,,
・,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冷,,,,,,ポ リ ス チ レ ン フ,箇ニコ,,,,,50,,,,,－,,1.03,,,－,4.9 －,,,,8.7 －,,,－－,,,,,0.65,,,,－,,,,,,,,,材 料 費 ＋ 雑 材 料 費,,0.116,0.131,,
温,,,,,,,ー所ニ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,１ 式,,,,,,,,,,
水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131,0.143,,
管,,,,,,,厨開,,,,,65,,,,,－,,1.03,,,－,5.2 －,,,,9.5 －,,,－－,,,,,0.71,,,,－,,,,材,,,,,,,,,,
膨,,,,,,,房開放,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,料,,,,,,,,,,1 式
,,,,,,,の廊,,,,,80,,,,,－,,1.03,,,－,5.4,,,－,－,8.6,,－,,－,,,0.76,,,,－,,,,費,,,,,,,0.144,0.153,,
張,,,,,,,天廊下,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管,,,,,,,井下を,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,,,,,,,
を,,,,,,,内含を,,,,,100,,,,,－,,1.03,,,－,5.9,,,－,－,9.8,,－,,－,,,0.86,,,,－,,,,0.05,,,,,,,0.175,0.174,,
含,,,,,,ム,はむ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,×,,,,,
む,,,,,,。含む,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.211,0.196,,
,,,,,,,ま,,,,,125,,,,,－,,1.03,,,－,6.3,,,－,－,11.0,,－,,－,,,0.97,,,,－,,,,,,,,,,,,,,
。いな及び,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244,0.216,,
,,,,,,,,,,,,150,,,,,－,,1.03,,,－,6.8,,,－,－,12.2,,－,,－,,,1.07,,,,－,,,,,,,,,,,,,,
浴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281,0.256,,
,,,,,,,、,,,,,200,,,,,－,,1.03,,,－,7.7 －,,,,－－,,11.0 －,,,,,,,－,,1.27,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.312,,
,,,,,,,,,,,,250,,,,,－,,,－ 1.03,,,9.0 －,,,,－－,,13.6 －,,,,,,,－,,1.55,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.355,,
,,,,,,,,,,,,300,,,,,－,,,－ 1.03,,,9.9 －,,,,－－,,,－ 12.4,,,,,,－,,1.76,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(注)　1.　「その他」の率対象は、材料、雑材料、運搬費、保温工及びダクト工とする。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
