Unnamed: 0,表ＲＭ－１－６【市】,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,,,,,,,,,,,,,,,,,,,,,,
,,配管保温(ポリスチレンフォーム) 　冷水管(冷水温度２～４℃),,,,,,,,,,,,,,,,,,,,,
摘,,,,要,,単 位,材,,,,,料,,,,,,,,雑 材 料,運 搬 費,保 温 工 ［人］,そ の 他
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
区 分,,,保 温 材 質,施 工 箇 所,呼 び 径,,ポリスチレンフォーム 保温筒［ｍ］,,,,粘着 テープ ［ｍ］,ポリエチレンフィルム ［ｍ］,,,,,アルミガラスクロス ［ｍ］,,,,,,
,,,,,,,30厚,40厚,,50厚,,100幅 125幅,,150幅,200幅 250幅,,100幅,125幅 150幅,,,,,
,,,,,15,,1.03,－,,－,3.8,6.5,－,－,－,－,4,－,－,,,0.114,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,20,,1.03,－,,－,3.9,6.9,－,－,－,－,4.2,－,－,,,0.118,
,,,,,25,,－,1.03,,－,4.4,9,－,－,－,－,5.6,－,－,,,0.127,
,,,,,32,,－,1.03,,－,4.6,－,7.6,－,－,－,－,4.5,－,,１,0.149,
冷,,,,,40,,－,1.03,,－,4.7,－,8,－,－,－,－,4.8,－,,式,0.162,
水,,,ポ リ ス チ レ ン フ,,,,,,,,,,,,,,,,,,,,
管,,,,機,50,,－,1.03,,－,4.9,－,8.7,－,－,－,－,5.2,－,１,材,0.178,
冷 水 温 度,,,,械,,,,,,,,,,,,,,,,式,料 費 ＋ 雑 材 料 費 ),,
,,,,室 、 書 庫,6580,m,－ －,1.03 1.03,,－ －,5.2 5.4,－ －,9.5 －,－ 8.6,－ －,－ －,－ －,5.8 －,－ 5.0,材 料 費,,0.193 0.210,1 式
２ ～４ ４,,,ォ ム,、 倉 庫,100,,－,1.03,,－,5.9,－,－,9.8,－,－,－,－,5.8,× 0.05,,0.262,
℃,,,,,,,,,,,,,,,,,,,,,×,,
,,,,,125,,－,－,,1.03,6.9,－,－,12,－,－,－,－,7.2,,0.03,0.311,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,150,,－,－,,1.03,7.3,－,－,13.2,－,－,－,－,7.9,,,0.354,
,,,,,200,,－,－,,1.03,8.2,－,－,－,11.8,－,－,－,9.5,,,0.453,
,,,,,250,,－,－,,1.03,9,－,－,－,13.6,－,－,－,11,,,0.56,
,,,,,300,,－,－,,1.03,9.9,－,－,－,－,12.4,－,－,12.6,,,0.673,
,,,,,,,,,,,,,,,,,,,,,,,
,(注)　1.　「その他」の率対象は、材料、雑材料、運搬費及び保温工とする。,,,,,,,,,,,,,,,,,,,,,,
