(積込) 表 RA - 2 -33 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,積込(バックホウ0.8ｍ3)                                       (1ｍ3当たり),,,,,,
名 称,,摘 要,,単位,所要量,,備 考
バックホウ運転,,0.8ｍ3,,日,0.0044,,
,,,,,,,
表 RA - 2 -34 【専】,,,,,,,
積込(バックホウ0.45ｍ3)                                      (1ｍ3当たり),,,,,,,
名 称,,摘 要,,単位,所要量,,備 考
バックホウ運転,,0.45ｍ3,,日,0.0071,,
,,,,,,,
表 RA - 2 -35 【専】,,,,,,,
積込 小規模土工(バックホウ0.28ｍ3)                           (1ｍ3当たり),,,,,,,
名 称,,摘 要,,単位,所要量,,備 考
バックホウ運転,,0.28ｍ3,,日,0.013,,
,,,,,,,
表 RA - 2 -36 【専】,,,,,,,
積込 小規模土工(バックホウ0.13ｍ3)                           (1ｍ3当たり),,,,,,,
名 称,,摘 要,,単位,所要量,,備 考
バックホウ運転,,0.13ｍ3,,日,0.025,,
,,,,,,,
,,,,,,- RA 11 -,
