Unnamed: 0,配管保温(ポリスチレンフォーム) 　ブライン管(5/7),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
摘,,,要,,単 位,材,,,,,料,,,,,,,,雑 材 料,,運 搬 費,保 温 工 ［人］,そ の 他
区 分,,保 温 材 質,施 工 箇 所,呼 び 径,,ポリスチレンフォーム 保温筒［ｍ］,,,,粘着 テープ ［ｍ］,ポリエチレンフィルム ［ｍ］,,,,,着色アルミ ガラスクロス ［ｍ］,,,,,,,
,,,,,,40厚,50厚,,65厚,,100幅,125幅,150幅,200幅,250幅,100幅,125幅,150幅,,,,,
,,,,15,,1.03,－,,－,4.2,8.1,－,－,－,－,5,－,－,,,,0.103,
,,,,20,,1.03,－,,－,4.3,8.5,－,－,－,－,5.2,－,－,,,,0.107,
,,,,25,,1.03,－,,－,4.4,9,－,－,－,－,5.6,－,－,,,,0.111,
,,,,32,,－,1.03,,－,5.3,－,8.8,－,－,－,－,5.2,－,,,１,0.138,
,,,暗 渠,40,,－,1.03,,－,5.5,－,9.3,－,－,－,－,5.6,－,,,式,0.148,
,,,,,,,,,,,,,,,,,,,,,,,
,,ポ リ ス チ レ ン フ,内,50,,－,1.03,,－,5.6,－,9.9,－,－,－,－,5.9,－,１ 式,,材 料,0.161,
ブ ラ イ ン 管,,,ピ ッ ト 内 を,6580,m,－ －,1.03 1.03,,－ －,5.9 6.0,－ －,10.7 －,－ 9.6,－ －,－ －,－ －,6.6 －,－ 5.6,材 料 費 ×,,費 ＋ 雑 材 料 費 ),0.180 0.196,1 式
,,ム,含 む,100,,－,－,,1.03,7.4,－,－,12.3,－,－,－,－,7.3,0.05,,,0.243,
,,,。,,,,,,,,,,,,,,,,,,×,,
,,,,125,,－,－,,1.03,7.7,－,－,13.5,－,－,－,－,8.1,,,0.03,0.291,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,150,,－,－,,1.03,8.2,－,－,14.6,－,－,－,－,8.8,,,,0.33,
,,,,200,,－,－,,1.03,9,－,－,－,12.9,－,－,－,10.4,,,,0.388,
,,,,250,,－,－,,1.03,9.7,－,－,－,14.7,－,－,－,11.9,,,,0.521,
,,,,300,,－,－,,1.03,10.6,－,－,－,－,13.3,－,－,13.5,,,,0.603,
(注)　1.　「その他」の率対象は、材料、雑材料、運搬費及び保温工とする。,,,,,,,,,,,,,,,,,,,,,,,
