(建設発生土運搬),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
ダンプトラック１台・１往復当たりの建設発生土運搬の歩掛りは次による。,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
表 RA - 2 -37 【専】,,,,,,,,,,,,,,,,,,,,,,,,,
,,建設発生土運搬 (1台当たり往復),,,,,,,,,,,,,,,,,,,,,,,
名 称,,,,,摘 要,,,,単位,,所要量,,,備 考,,,,,,,,,,,
ダンプトラック運転,,,,,10、4、2t積級,,,,日,,Ｄ,,,運搬日数(Ｄ)は別表RA-2-37-1～別表RA-2-37-7 による,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
別表 RA - 2 -37- 1 ダンプトラック運搬日数(Ｄ) 【専】 (1台当たり),,,,,,,,,,,,,,,,,,,,,,,,,
,積込機械,,バックホウ 排出ガス対策型 油圧式クローラ型1.4ｍ3,,,,,,,,,,,,,,,,,,,,,,
,運搬機種,,ダンプトラック 10t積級,,,,,,,,,,,,,,,,,,,,,,
,ＤＩＤ区間：無し,,,,,,,,,,,,,,,,,,,,,,,,
,運搬距離 (km),,0.3 以下,0.5 以下,,1.0 以下,1.5 以下,2.0 以下,,2.5 以下,3.0 以下,3.5 以下,,,4.5 以下,6.0 以下,,7.0 以下,8.5 以下,10.0 以下,12.5 以下,16.5 以下,23.5 以下,51.5 以下,60.0 以下
,運搬日数,,0.025,0.03,,0.037,0.042,0.048,,0.053,0.059,0.067,,,0.077,0.091,,0.111,0.125,0.143,0.167,0.2,0.25,0.333,0.5
,ＤＩＤ区間：有り,,,,,,,,,,,,,,,,,,,,,,,,
,運搬距離 (km),,0.3 以下,0.5 以下,,1.0 以下,1.5 以下,2.0 以下,,2.5 以下,3.0 以下,3.5 以下,,,4.5 以下,5.5 以下,,6.5 以下,8.0 以下,9.5 以下,11.5 以下,15.0 以下,20.5 以下,33.0 以下,60.0 以下
,運搬日数,,0.025,0.03,,0.037,0.042,0.048,,0.053,0.059,0.067,,,0.077,0.091,,0.111,0.125,0.143,0.167,0.2,0.25,0.333,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,
別表 RA - 2 -37- 2 ダンプトラック運搬日数(Ｄ) 【専】 (1台当たり),,,,,,,,,,,,,,,,,,,,,,,,,
,積込機械,,バックホウ 排出ガス対策型 油圧式クローラ型0.8ｍ3,,,,,,,,,,,,,,,,,,,,,,
,運搬機種,,ダンプトラック 10t積級,,,,,,,,,,,,,,,,,,,,,,
,ＤＩＤ区間：無し,,,,,,,,,,,,,,,,,,,,,,,,
,運搬距離 (km),,0.3 以下,0.5 以下,,1.0 以下,1.5 以下,2.0 以下,,3.0 以下,4.0 以下,5.5 以下,,,6.5 以下,7.5 以下,,9.5 以下,11.5 以下,15.5 以下,22.5 以下,49.5 以下,60.0 以下,,
,運搬日数,,0.035,0.039,,0.044,0.05,0.056,,0.067,0.077,0.091,,,0.111,0.125,,0.143,0.167,0.2,0.25,0.333,0.5,,
,ＤＩＤ区間：有り,,,,,,,,,,,,,,,,,,,,,,,,
,運搬距離 (km),,0.3 以下,0.5 以下,,1.0 以下,1.5 以下,2.0 以下,,3.0 以下,3.5 以下,5.0 以下,,,6.0 以下,7.0 以下,,8.5 以下,11.0 以下,14.0 以下,19.5 以下,31.5 以下,60.0 以下,,
,運搬日数,,0.035,0.039,,0.044,0.05,0.056,,0.067,0.077,0.091,,,0.111,0.125,,0.143,0.167,0.2,0.25,0.333,0.5,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,- RA 12 -,,,,,,,,,,,,
