Unnamed: 0,Unnamed: 1,Unnamed: 2,配管保温(ロックウール) 　給水管、排水管、給湯管及び温水管(膨張管を含む。)(6/9),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,摘,,,,要,,,,,,,,,材料,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,保 温 材 質,,施 工 箇 所,,,,,単,,,アルミガラスクロス,,,,,,アルミガラス,,,,雑,,,,,運,,,,,,保そ,,,,,,
,,,,,,,,,,呼,,,,,,,,,,,クロス粘着,,,,,,,,,,,,,,,,,,,,,
,,区,,,,,,,,,,,,,化粧保温筒,,,,,,テープ,,,,材,,,,,搬,,,,,,温の,,,,,,
,,,,,,,,,,び,,,,,［ｍ］,,,,,,［ｍ］,,,,,,,,,,,,,,,,,,,,,
,,分,,,,,,,,,,位,,,,,,,,,,,,,料,,,,,費,,,,,工,,,,,,,
,,,,,,,,,,径,,,,20厚 25厚,,,,40厚 60幅 100幅,,,,,,,,,,,,,,,,他,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,［人］,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.05,,,－,,－,,1.6,,－,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,5.0,,,,,,,,,,,,,,,,,,,,,,,,0,.,4.0,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.05,,,－,,－,,1.6,,－,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,.,4.0,2.0,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,
,,,,,,,,,,,,,1.05,,,－,,－,,1.6,,－,,,,,,,,,,,,,0,,4.0,3.0,,,,
給,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,
,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
水,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,
