Unnamed: 0,配管保温(ロックウール) 　給水管、排水管、給湯管及び温水管(膨張管を含む。)(7/9),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
摘,,,要,,単 位,材,,,,,,,,料,,,,,雑 材 料,運 搬 費,保 温 工 ［人］,そ の 他
区 分,,保 温 材 質,施 工 箇 所,呼 び 径,,ロックウール保温筒 ［ｍ］,,,ポリエチレンフィルム ［ｍ］,,,,,着色アルミガラスクロス ［ｍ］,,,,,,,,
,,,,,,20厚 25厚,,40厚,100幅,125幅,,150幅 200幅,,250幅,75幅 100幅 125幅,,,150幅,,,,
,,,,15,,1.05,－,－,5.1,－,,－,－,－,4.3,－,－,－,,,0.062,
,,,,20,,1.05,－,－,5.4,－,,－,－,－,4.7,－,－,－,,,0.068,
給 水,,,,25,,1.05,－,－,6,－,,－,－,－,－,3.6,－,－,,,0.073,
管 、 排,,,,32,,1.05,－,－,6.6,－,,－,－,－,－,4,－,－,,１,0.078,
水 管,,,暗,40,,1.05,－,－,7,－,,－,－,－,－,4.3,－,－,,式 材 料,0.086,
、 給 湯,,ロ ッ ク,渠 内,50,,1.05,－,－,7.9,－,,－,－,－,－,4.9,－,－,１ 式,,0.094,
管 及 び 温 水,,,ピ ッ ト 内 を,65,m,1.05,－,－,－,7.2,,－,－,－,－,－,4.3,－,材 料 費 ×,費 ＋ 雑,0.102,1
,,ウ ル,,80,,1.05,－,－,－,8,,－,－,－,－,－,4.8,－,,材 料 費 × 0.03,0.113,式
管 膨 張 管 を,,,含 む,100125,,－ －,1.05 1.05,－ －,－ －,－ －,,8.3 9.6,－ －,－ －,－ －,－ －,－ －,4.9 5.7,0.05,,0.150 0.177,
含 む,,,,150,,－,1.05,－,－,－,,10.8,－,－,－,－,－,6.4,,,0.201,
,,,,200,,－,－,1.05,－,－,,－,11,－,－,－,－,8.9,,,0.284,
,,,,250,,－,－,1.05,－,－,,－,12.9,－,－,－,－,10.4,,,0.363,
,,,,300,,－,－,1.05,－,－,,－,－,11.8,－,－,－,12,,,0.428,
(注)　1.　「その他」の率対象は、材料、雑材料、運搬費及び保温工とする。,,,,,,,,,,,,,,,,,,,,,,
