Unnamed: 0,Unnamed: 1,Unnamed: 2,配管保温(ロックウール) 　冷水・冷温水管(膨張管を含む。)及び冷媒管(3/8),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,材,,,,料,,,,,,,,
,,摘要 保施 区温工 分材箇 質所,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,雑,運,保,,,,そ
,,,,,,呼,単,ロックウール保温筒,,ポリエチレンフィルム,,,,アルミガラスクロス,,,,,,,
,,,,,,,,［ｍ］,,,,［ｍ］,原紙,［ｍ］,材,搬,温,,,,の
,,,,,,び,,,,,,,［ｍ２］,,,,工,,,,
,,,,,,,位,,,,,,,,,,,,,,他
,,,,,,径,,30厚 40厚,50厚,100幅 125幅,,150幅 200幅,250幅,100幅 125幅 150幅,料,費,［人］,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,1.05 －,－,6.5 －,,－－,－ 0.30,4.0 － －,,,0.096,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,20,,1.05 －,－,6.9 －,,－－,－ 0.32,4.2 － －,,,0.1,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,25,,1.05 －,－,7.4 －,,－－,－ 0.35,4.6 － －,,,0.109,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
冷 水 ・ 冷 温 水 管 膨 張 管 を 含 む,,,,,,32,,－ 1.05,－,－ 7.6,,－－,－ 0.46,－ 4.5 －,,１,0.121,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,40,,－ 1.05,－,－ 8.0,,－－,－ 0.48,－ 4.8 －,,式,0.13,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,機,50,,－ 1.05,－,－ 8.7,,－－,－ 0.52,－ 5.2 －,１,材,0.142,,,,
,,,,ロ ク ウ ル,械,,,,,,,,,,式,料,,,,,
,,,,,室,,,,,,,,,,,費,,,,,
,,,,,、,65,,－ 1.05,－,－ 9.5,,－－,－ 0.58,－ 5.8 －,材,＋,0.154,,,,1 式
,,,,,書,,m,,,,,,,,,雑,,,,,
,,,,,庫,,,,,,,,,,料,,,,,,
,,,,,,80,,－ 1.05,－,－－,,8.6 －,－ 0.63,－ － 5.0,費,材 料,0.168,,,,
,,,,,倉,,,,,,,,,,× 0.05,費,,,,,
,,,,,庫,100,,－ 1.05,－,－－,,9.8 －,－ 0.73,－ － 5.8,,),0.213,,,,
及 び 冷 媒 管,,,,,,,,,,,,,,,,×,,,,,
,,,,,,125,,－ 1.05,－,－－,,11.0 －,－ 0.82,－ － 6.6,,0.03,0.249,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,150,,－ 1.05,－,－－,,12.2 －,－ 0.92,－ － 7.3,,,0.282,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,200,,－ 1.05,－,－－,,－ 11.0,－ 1.11,－ － 8.9,,,0.385,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,250,,－－,1.05,－－,,－ 13.6,－ 1.38,－ － 11.0,,,0.47,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,300,,－－,1.05,－－,,－－,12.4 1.57,－ － 12.6,,,0.564,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,(注)　1.　「その他」の率対象は、材料、雑材料、運搬費及び保温工とする。,,,,,,,,,,,,,,,,,,,,
