別表 RA - 2 -37- 3 ダンプトラック運搬日数(Ｄ) 【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,(1台当たり)
,積込機械,バックホウ 排出ガス対策型 油圧式クローラ型0.45ｍ3,,,,,,,,,,,,,,,,,
,運搬機種,ダンプトラック 10t積級,,,,,,,,,,,,,,,,,
,ＤＩＤ区間：無し,,,,,,,,,,,,,,,,,,
,運搬距離 (km),0.5 以下,1.0 以下,2.0 以下,2.5 以下,3.5 以下,4.5 以下,6.0 以下,7.5 以下,,10.0 以下,13.5 以下,,19.5 以下,39.0 以下,60.0 以下,,,
,運搬日数,0.056,0.063,0.071,0.083,0.091,0.111,0.125,0.143,,0.167,0.2,,0.25,0.333,0.5,,,
,ＤＩＤ区間：有り,,,,,,,,,,,,,,,,,,
,運搬距離 (km),0.5 以下,1.0 以下,1.5 以下,2.0 以下,3.0 以下,4.0 以下,5.5 以下,7.0 以下,,9.0 以下,12.0 以下,,17.5 以下,28.5 以下,60.0 以下,,,
,運搬日数,0.056,0.063,0.071,0.083,0.091,0.111,0.125,0.143,,0.167,0.2,,0.25,0.333,0.5,,,
,,,,,,,,,,,,,,,,,,,
別表 RA - 2 -37- 4 ダンプトラック運搬日数(Ｄ) 【専】 (1台当たり),,,,,,,,,,,,,,,,,,,
,積込機械,クラムシェル,,,油圧ロープ式クローラ型0.6ｍ3,,,,,,,,,,,,,,
,運搬機種,ダンプトラック 10t積級,,,,,,,,,,,,,,,,,
,ＤＩＤ区間：無し,,,,,,,,,,,,,,,,,,
,運搬距離,0.5,1,2,3.5,4.5,5.5,7,9.5,,13,19.5,,37.5,60,,,,
,(km),以下,以下,以下,以下,以下,以下,以下,以下,,以下,以下,,以下,以下,,,,
,運搬日数,0.059,0.067,0.077,0.091,0.111,0.125,0.143,0.167,,0.2,0.25,,0.333,0.5,,,,
,ＤＩＤ区間：有り,,,,,,,,,,,,,,,,,,
,運搬距離,0.5,1,2,3.5,4,5,6.5,8.5,,12,17,,28,60,,,,
,(km),以下,以下,以下,以下,以下,以下,以下,以下,,以下,以下,,以下,以下,,,,
,運搬日数,0.059,0.067,0.077,0.091,0.111,0.125,0.143,0.167,,0.2,0.25,,0.333,0.5,,,,
,,,,,,,,,,,,,,,,,,,
別表 RA - 2 -37- 5 ダンプトラック運搬日数(Ｄ) 【専】 (1台当たり),,,,,,,,,,,,,,,,,,,
,積込機械,バックホウ 排出ガス対策型 油圧式クローラ型0.28ｍ3,,,,,,,,,,,,,,,,,
,運搬機種,ダンプトラック 4t積級,,,,,,,,,,,,,,,,,
,ＤＩＤ区間：無し,,,,,,,,,,,,,,,,,,
,運搬距離 (km),0.2 以下,1.0 以下,1.5 以下,2.5 以下,3.5 以下,4.0 以下,5.0 以下,6.0 以下,,7.5 以下,10.0 以下,,13.0 以下,19.0 以下,35.0 以下,60.0 以下,,
,運搬日数,0.04,0.05,0.063,0.077,0.083,0.1,0.111,0.125,,0.143,0.167,,0.2,0.25,0.333,0.5,,
,ＤＩＤ区間：有り,,,,,,,,,,,,,,,,,,
,運搬距離 (km),0.2 以下,1.0 以下,1.5 以下,2.0 以下,3.0 以下,3.5 以下,4.5 以下,5.5 以下,,7.0 以下,9.0 以下,,12.0 以下,17.0 以下,27.0 以下,60.0 以下,,
,運搬日数,0.04,0.05,0.063,0.077,0.083,0.1,0.111,0.125,,0.143,0.167,,0.2,0.25,0.333,0.5,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,- RA 13 -,,,,,,,,,
