表ＲＭ－１－１０【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,配管保温(ロックウール),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,　蒸気管(1/9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,摘,,,,要,,,,,,,,,,,,材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,雑,,,,,,,,,,,,,,,,運保,,,,,,,,,,,,ダ,,,,,,
,,,,,保 温 材 質,,施 工 箇 所,,,,,,,,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,そ,,,,,,,,
,,,,,,,,,,,呼,,,,,,ロックウール保温筒,,,,,,,,,,,,,,,,,,,,,,,,,,,,ク,,,,,,
,区,,,,,,,,,,,,,,,,［ｍ］,,,,,合成樹脂製,,,カバー ピン ［個］,,,,,,,温,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,び,,,,,,,,,,,カバー１,,,,,,材 料,,,,,搬,,,,,,,,,,,,トの,,,,,,
,,,,,,,,,,,,,,,位,,,,,,,(シートタイプ),,,,,,,,,,工,,,,,,,,,,,,,,,,,,,
,分,,,,,,,,,,,,,,,,,,,,,［ｍ２］,,,,,,,,,,,費,,,,,,,,,,,工,,,,,,,
,,,,,,,,,,,径,,,,,,20厚 30厚 40厚,,,,,,,,,,,,,,,,,,,,,,,,,,他,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,［人］,,,,,,,,,,,,［人］,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1.05,,,－,,－,,0.34,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,5.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,.,4.0,0.0,,,,0,.,2.0,2.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1.05,,,－,,－,,0.36,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,.,4.0,2.0,,,,0,.,2.0,3.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,, ,,,,,,
,,,,,,,,,,,2,5.0,,,,1.05,,,－,,－,,0.39,12.0,,,,,,,,,,,,,0.0,,4.0,3.0,,,,0,,2.0,5.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,, ,,,,,,
,,,,,,,,,,,3,2.0,,,,－,,,1.05,,－,,0.51,12.0,,,,,,,,,,,,,0.0,,5.0,2.0,,,,0,,3.0,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,１,,,,,,,, ,,,,,,, ,,,,,,
,,,,,,,,,,,4,0.0,,,,－,,,1.05,,－,,0.53,12.0,,,,,,式,,,,,,,0.0,,5.0,5.0,,,,0,,3.0,2.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(,,,,,,,,.,,,,,,,.,,,,,,
