Unnamed: 0,Unnamed: 1,配管保温(ロックウール),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,　蒸気管(3/9),,,,,,,,,,,,,,,,,
,,摘要,,,,,,単 位,材,,料,,,,雑 材 料,運 搬 費,保 温 工 ［人］,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,呼 び 径,,ロックウール保温筒 ［ｍ］,,原紙 ［ｍ２］,アルミガラスクロス,,,,,,,そ
,保 区温 分材 質,,,施 工 箇 所,,,,,,,,,,,,,,,
,,,,,,,,,,,,100幅,［ｍ］ 125幅,150幅,,,,,の
,,,,,,,,,20厚 30厚,40厚,,,,,,,,,他
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,15,,1.05 －,－,0.23,3,－,－,,,0.078,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,20,,1.05 －,－,0.25,3.2,－,－,,,0.082,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,25,,1.05 －,－,0.27,3.6,－,－,,,0.089,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,32,,－ 1.05,－,0.38,5,－,－,,,0.1,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,１,,,
,,,,,,,40,,－ 1.05,－,0.4,5.3,－,－,,式,0.106,,
,,,,,,,,,,,,,,,,,,,
機,,,,,,,50,,－ 1.05,－,0.45,－,4.5,－,１,材,0.117,,
ロ械,,,,,,,,,,,,,,,式,料,,,
ッロ 室,,,,,,,,,,,,,,,,費,,,
,蒸 ク 、,,,,,,65,,－－,1.05,0.58,－,5.8,－,材,＋,0.13,,1 式
気 ウ 書,,,,,,,,m,,,,,,,料,雑,,,
管 ーウ 庫,,,,,,,80,,－－,1.05,0.63,－,－,5,費 ×,材 料,0.142,,
ル倉,,,,,,,,,,,,,,,0.05,費,,,
庫,,,,,,,100,,－－,1.05,0.73,－,－,5.8,,),0.183,,
,,,,,,,,,,,,,,,,×,,,
,,,,,,,125,,－－,1.05,0.82,－,－,6.6,,0.03,0.214,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,150,,－－,1.05,0.92,－,－,7.3,,,0.243,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,200,,－－,1.05,1.11,－,－,8.9,,,0.339,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,250,,－－,1.05,1.3,－,－,10.5,,,0.411,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,300,,－－,1.05,1.5,－,－,12,,,0.498,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
(注)　1.　「その他」の率対象は、材料、雑材料、運搬費及び保温工とする。,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,- ＲM 46 -,,,,,,,,
