Unnamed: 0,配管保温(ロックウール),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,　蒸気管(4/9),,,,,,,,,,,,,,,,
,摘要,,,,,,材,,料,,雑 材 料,運 搬 費,保 温 工 ［人］,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,保,施 工 箇 所,,,呼 び 径,単 位,ロックウール保 ［ｍ］,,温筒 40厚,アルミガラス 化粧原紙 ［ｍ２］,,,,,,,そ
,区温,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,の
,分材,,,,,,,,,,,,,,,,
,質,,,,,,20厚,30厚,,,,,,,,,他
,,,,,,,,,,,,,,,,,
,,,,,15,,1.05,－,－,0.23,,,0.054,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,20,,1.05,－,－,0.25,,,0.058,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,25,,1.05,－,－,0.27,,,0.064,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,32,,－,1.05,－,0.38,,,0.072,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,１,,,,,
,,,,,40,,－,1.05,－,0.4,,式,0.078,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
機,,,,,50,,－,1.05,－,0.45,１,材,0.085,,,,
ロ械,,,,,,,,,,,式,料,,,,,
ッロ 室,,,,,,,,,,,,費,,,,,
,蒸 ク 、,,,,65,,－,－,1.05,0.58,材,＋,0.093,,,,1 式
気 ウ 書,,,,,,m,,,,,料,雑,,,,,
管 ーウ 庫,,,,,80,,－,－,1.05,0.63,費 ×,材 料,0.103,,,,
ル倉,,,,,,,,,,,0.05,費,,,,,
,,,,,,,,,,,,,,,,,
庫,,,,,100,,－,－,1.05,0.73,,),0.135,,,,
,,,,,,,,,,,,×,,,,,
,,,,,125,,－,－,1.05,0.82,,0.03,0.158,,,,
,,,,,,,,,,,,,,,,,
,,,,,150,,－,－,1.05,0.92,,,0.18,,,,
,,,,,,,,,,,,,,,,,
,,,,,200,,－,－,1.05,1.11,,,0.248,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,250,,－,－,1.05,1.3,,,0.311,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,300,,－,－,1.05,1.5,,,0.383,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
(注)　1.　「その他」の率対象は、材料、雑材料、運搬費及び保温工とする。,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,- ＲM 47 -,,,,,,,
