Unnamed: 0,配管保温(ロックウール) 　蒸気管(7/9),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
摘,,,要,,,単 位,材,,,,,,,料,,,,雑 材 料,,運 搬 費,保 温 工 ［人］,そ の 他
区 分,,保 温 材 質,施 工 箇 所,呼 び 径,,,ロックウール保温筒 ［ｍ］,,,ポリエチレンフィルム ［ｍ］,,,,着色アルミ ガラスクロス ［ｍ］,,,,,,,,
,,,,,,,20厚,30厚,40厚,100幅,125幅,150幅 200幅,,250幅,100幅,125幅,150幅,,,,,
,,,,15,,,1.05,－,－,5,－,－,－,－,3,－,－,,,,0.065,
,,,,20,,,1.05,－,－,5.4,－,－,－,－,3.2,－,－,,,,0.071,
,,,,25,,,1.05,－,－,5.9,－,－,－,－,3.6,－,－,,,,0.077,
,,,,32,,,－,1.05,－,－,6.4,－,－,－,5,－,－,,,１,0.086,
,,,暗 渠 内,40,,,－,1.05,－,－,6.8,－,－,－,5.3,－,－,,,式 材 料,0.095,
,,ロ ッ ク,,50,,,－,1.05,－,－,7.5,－,－,－,－,4.5,－,１ 式,,,0.104,
蒸 気 管,,,ピ ッ ト 内 を,65,,m,－,－,1.05,－,9.5,－,－,－,－,5.8,－,材 料 費 ×,,費 ＋ 雑,0.114,1
,,ウ ル,,80,,,－,－,1.05,－,－,8.6,－,－,－,－,5,,,材 料 費 × 0.03,0.126,式
,,,含 む,100125,,,－ －,－ －,1.05 1.05,－ －,－ －,9.8 11.0,－ －,－ －,－ －,－ －,5.8 6.6,0.05,,,0.167 0.195,
,,,,150,,,－,－,1.05,－,－,12.2,－,－,－,－,7.3,,,,0.221,
,,,,200,,,－,－,1.05,－,－,－,11.1,－,－,－,8.9,,,,0.305,
,,,,250,,,－,－,1.05,－,－,－,12.9,－,－,－,10.5,,,,0.387,
,,,,300,,,－,－,1.05,－,－,－,－,11.8,－,－,12,,,,0.457,
(注)　1.　「その他」の率対象は、材料、雑材料、運搬費及び保温工とする。,,,,,,,,,,,,,,,,,,,,,,
