(土工機械) 表 RA - 2 -38 【市】【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,土工機械運転 (1日当たり),,,,,,,,,,,,,
機械名,,規 格,,,,,適用単価表,,,運転労務 (人),,燃料(軽油) (Ｌ),機械損料 (供用日),備 考
バックホウ,,排出ガス対策型 油圧式クローラ型1.4ｍ3,,,,,単価表１ (別表RA-2-38-1),,,1,,140,1.5,
バックホウ,,排出ガス対策型 油圧式クローラ型0.8ｍ3,,,,,単価表１ (別表RA-2-38-1),,,1,,87.5,1.5,
バックホウ,,排出ガス対策型 油圧式クローラ型0.45ｍ3,,,,,単価表１ (別表RA-2-38-1),,,1,,50.1,1.5,
バックホウ,,排出ガス対策型 油圧式クローラ型0.28ｍ3,,,,,単価表１ (別表RA-2-38-1),,,1,,34.4,1.5,
バックホウ,,排出ガス対策型 油圧式クローラ型0.13ｍ3,,,,,単価表１ (別表RA-2-38-1),,,1,,22.4,1.78,
クラムシェル,,油圧ロープ式 クローラ型0.6ｍ3,,,,,単価表１ (別表RA-2-38-1),,,1,,101,1.5,
ブルドーザ,,排出ガス対策型 普通15t級,,,,,単価表１ (別表RA-2-38-1),,,1,,68.5,1.67,
ブルドーザ,,排出ガス対策型 普通3t級,,,,,単価表１ (別表RA-2-38-1),,,1,,20.5,1.67,
タイヤローラ,,排出ガス対策型 8～20t,,,,,単価表１ (別表RA-2-38-1),,,1,,35,1.86,
振動ローラ,,排出ガス対策型 搭乗式・タンデム型2.4～2.8t,,,,,単価表２ (別表RA-2-38-2),,,─,,15.5,1.57,
振動ローラ,,ハンドガイド式 0.8～1.1t,,,,,単価表２ (別表RA-2-38-2),,,─,,6.7,1.5,
タンパ,,60～80kg,,,,,単価表２ (別表RA-2-38-2),,,─,,5.0 (ガソリン),1.33,
別表 RA - 2 -38- 1 【市】,,,,,,,,,,,,,,
,運転１日当たり単価表１ (1日当たり),,,,,,,,,,,,,
名 称,,,摘 要,単位,,所要量,,,備 考,,,,,
運転手(特殊) 燃 料 機 械 損 料 そ の 他,,,,人 Ｌ 供用日 式,,1,,,表RA- 2 -38 による 表RA- 2 -38 による 表RA- 2 -38 による,,,,,
(注)1.「その他」の率対象は、運転手(特殊)、燃料とする。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,- RA 15 -,,,,,,
