Unnamed: 0,Unnamed: 1,Unnamed: 2,配管保温(グラスウール) 　冷水・冷温水管(膨張管を含む。)及び冷媒管(3/8),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,材,,,料,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,摘要 保施 区 温 工 分 材 箇 質所,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,雑,運,保,,,そ
,,,,,,,呼単,グラスウール保温筒,,,ポリエチレンフィルム,,アルミガラスクロス,,,,,,,,
,,,,,,,,,［ｍ］,,［ｍ］,,原紙,［ｍ］,,材,搬,温,,,の
,,,,,,,び,,,,,,［ｍ２］,,,,,工,,,
,,,,,,,位,,,,,,,,,,,,,,他
,,,,,,,径,30厚,40厚 50厚 100幅,,125幅 150幅,200幅 250幅,100幅,125幅,150幅,料,費,［人］,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,15,1.05,－ － 6.5,,－－,－－,0.30 4.0,－,－,,,0.088,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,1.05,－ － 6.9,,－－,－－,0.32 4.2,－,－,,,0.091,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,25,1.05,－ － 7.4,,－－,－－,0.35 4.6,－,－,,,0.098,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
冷 水 ・ 冷 温 水 管 膨 張 管 を 含 む,,,,,,,32,－,1.05 － －,,7.6 －,－－,0.46 －,4.5,－,,,0.115,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,１,,,,
,,,,,,,40,－,1.05 － －,,8.0 －,－－,0.48 －,4.8,－,,式,0.123,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,機,,,50,－,1.05 － －,,8.7 －,－－,0.52 －,5.2,－,１,材,0.136,,,
,,,,,グ,械,,,,,,,,,,式,料,,,,
,,,,,ラ,室,,,,,,,,,,,費,,,,
,,,,スウ 書庫,,,65,－,1.05 － －,,9.5 －,－－,0.58 －,5.8,－,材,＋,0.147,,,1 式
,,,,,,,m,,,,,,,,,,雑,,,,
,,,,,,,,,,,,,,,,料,,,,,
,,,,ーウ 庫,,,80,－,1.05 － －,,－ 8.6,－－,0.63 －,－,5,費,材 料,0.161,,,
,,,,ル倉,,,,,,,,,,,,× 0.05,費,,,,
,,,,,,,,,,,,,,,,,,,,,
庫,,,,,,,100,－,1.05 － －,,－ 9.8,－－,0.73 －,－,5.8,,×,0.199,,,
及 び 冷 媒 管,,,,,,,125,－,1.05 － －,,－ 11.0,－－,0.82 －,－,6.6,,0.03,0.233,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,150,－,1.05 － －,,－ 12.2,－－,0.92 －,－,7.3,,,0.263,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,200,－,1.05 － －,,－－,11.0 －,1.11 －,－,8.9,,,0.325,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,250,－,－ 1.05 －,,－－,13.6 －,1.38 －,－,11,,,0.413,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,300,－,－ 1.05 －,,－－,－ 12.4,1.57 －,－,12.6,,,0.494,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,(注)　1.　「その他」の率対象は、材料、雑材料、運搬費及び保温工とする。,,,,,,,,,,,,,,,,,,,,
