表ＲＭ－１－１３【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
配管保温(グラスウール),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
　蒸気管(1/9),,,,,,,,,,,,,,,,,,,
摘要,,,,,,,,,,材料,,,,雑 材 料,運 搬 費,保 温 工 ［人］,ダ ク ト 工 ［人］,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,グラスウール保温筒 合成樹脂製 ［ｍ］ カバー１ (シートタイプ) 20厚 30厚 40厚 ［ｍ ］,,,カバー ピン ［個］,,,,,,そ
,保 区温 分材 質,,,,施 工 箇 所,,,呼,単,,,,,,,,,,
,,,,,,,,び,,,,,,,,,,,の
,,,,,,,,,位,,,,,,,,,,
,,,,,,,,径,,,,,,,,,,,他
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1.05 － － 0.34,,,12,１ 式 材 料 費 × 0.05,１ 式 材 料 費 ＋ 雑 材 料 費 × 0.03,0.034,0.022,,
,,,,,,,,15,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1.05 － －    0.36 1.05 － －    0.39,,,1212,,,0.035 0.036,0.023 0.025,,
,,,,,,,,20,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,25,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,－ 1.05 － 0.51,,,12,,,0.045,0.03,,
,,,,,,,,32,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,40,,－ 1.05 － 0.53,,,12,,,0.05,0.032,,
,,,屋 内 露 出 一 般 居 室 廊 下,,,,,,,,,,,,,,,,
,,,,,,,,50,,－ 1.05 － 0.58,,,12,,,0.054,0.034,,
,,グ ラ ス ウ ル,,,,,,,,,,,,,,,,,
,蒸 気 管,,,,,,,65,,－ － 1.05 0.71,,,12,,,0.078,0.043,,
,,,,,,,,,m,－ － 1.05 0.76,,,12,,,0.084,0.046,,1 式
,,,,,,,,80,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,100,,－ － 1.05 0.86,,,12,,,0.105,0.052,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,－ － 1.05 0.97,,,12,,,0.121,0.059,,
,,,,,,,,125,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,－ － 1.05 1.07,,,12,,,0.142,0.065,,
,,,,,,,,150,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,－ － 1.05 1.27,,,12,,,0.168,0.077,,
,,,,,,,,200,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,－ － 1.05 1.55,,,12,,,0.193,0.092,,
,,,,,,,,250,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,－ － 1.05 1.76,,,12,,,0.223,0.104,,
,,,,,,,,300,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
(注)　1.　「その他」の率対象は、材料、雑材料、運搬費、保温工及びダクト工とする。,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,- ＲM 70 -,,,,,,,
