Unnamed: 0,Unnamed: 1,配管保温(グラスウール) 　蒸気管(2/9),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,材料,,,,雑 材 料,運 搬 費,保 温 工 ［人］,ダ ク ト 工 ［人］,,
,,,,摘要,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,グラスウー［ｍル］ 保温筒 合(成ジャ樹ケ脂ッ製トタカイバプー)２ ［ｍ］ ［ｍ］,,,,,,,,,そ
,保 区温 分材 質,,,,,,施 工 箇 所,,,呼,単,,,,,,,,,,
,,,,,,,,,,び,,,,,,,,,,,の
,,,,,,,,,,,位,20厚 30厚 40厚 20厚用30厚用,,,40厚用,,,,,,
,,,,,,,,,,径,,,,,,,,,,,他
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.05 － － 1.05 －,,,－,１ 式 材 料 費 × 0.05,１ 式 材 料 費 ＋ 雑 材 料 費 × 0.03,0.034,0.029,,
,,,,,,,,,,15,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.05 － － 1.05 － 1.05 － － 1.05 －,,,－ －,,,0.035 0.036,0.030 0.033,,
,,,,,,,,,,20,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,25,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,－ 1.05 － － 1.05,,,－,,,0.045,0.039,,
,,,,,,,,,,32,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,40,,－ 1.05 － － 1.05,,,－,,,0.05,0.042,,
,,,,,屋 内 露 出 一 般 居 室 廊 下,,,,,,,,,,,,,,,,
,,,,,,,,,,50,,－ 1.05 － － 1.05,,,－,,,0.054,0.045,,
,,,グ ラ ス ウ ル,,,,,,,,,,,,,,,,,,
,蒸 気 管,,,,,,,,,65,,－ － 1.05 － －,,,1.05,,,0.078,0.056,,
,,,,,,,,,,,m,－ － 1.05 － －,,,1.05,,,0.084,0.06,,1 式
,,,,,,,,,,80,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,100,,－ － 1.05 － －,,,1.05,,,0.105,0.068,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,－ － 1.05 － －,,,1.05,,,0.121,0.077,,
,,,,,,,,,,125,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,－ － 1.05 － －,,,1.05,,,0.142,0.085,,
,,,,,,,,,,150,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,－ － 1.05 － －,,,1.05,,,0.168,0.101,,
,,,,,,,,,,200,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,－ － 1.05 － －,,,1.05,,,0.193,0.12,,
,,,,,,,,,,250,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,－ － 1.05 － －,,,1.05,,,0.223,0.136,,
,,,,,,,,,,300,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
(注)　1.　「その他」の率対象は、材料、雑材料、運搬費、保温工及びダクト工とする。,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,- ＲM 71 -,,,,,,,
