別表 RA - 2 -38- 2 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,運転１日当たり単価表２ (1日当たり),,,,,,,,,,,,,
名 称,,,摘 要,単位,所要量,,,備 考,,,,,,
特殊作業員,,,,人,1,,,,,,,,,
燃 料,,,,Ｌ,,,,表RA- 2 -38 による,,,,,,
機 械 損 料,,,,供用日,,,,表RA- 2 -38 による,,,,,,
そ の 他,,,,式,1,,,,,,,,,
(注)1.「その他」の率対象は、特殊作業員、燃料とする。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
表 RA - 2 -39 【市】,,,,,,,,,,,,,,
土工機械運搬 (1日当たり往復),,,,,,,,,,,,,,
名 称,,,摘 要,,,,単位,,,所要量,,備 考,,
トラック運転,,,11t積,,,,日,,,別表,,所要量は別表 RA-2-39-1 による,,
,,,,,,,,,,,,,,
別表 RA - 2 -39- 1 【市】【専】,,,,,,,,,,,,,,
,土工機械運搬,,,,,,,,,,,,,
機 械 名,,規 格,,,,質量,,,運搬機械,,,,,備 考
,,,,,,(ｔ),,,規格,,,,日数(往復),
バックホウ,,排出ガス対策型 油圧式クローラ型1.4ｍ3,,,,31.8,,,トラック11t積,,,,2.9,分解組立別途加算
バックホウ,,排出ガス対策型 油圧式クローラ型0.8ｍ3,,,,19.8,,,トラック11t積,,,,2,
バックホウ,,排出ガス対策型 油圧式クローラ型0.45ｍ3,,,,10.7,,,トラック11t積,,,,1.4,
バックホウ,,排出ガス対策型 油圧式クローラ型0.28ｍ3,,,,6.4,,,トラック11t積,,,,1.1,
バックホウ,,排出ガス対策型 油圧式クローラ型0.13ｍ3,,,,4.2,,,トラック11t積,,,,0.9,
クラムシェル,,油圧ロープ式 クローラ型0.6ｍ3,,,,33.7,,,トラック11t積,,,,3.1,分解組立別途加算
ブルドーザ,,排出ガス対策型 普通15t級,,,,14.6,,,トラック11t積,,,,1.7,
ブルドーザ,,排出ガス対策型 普通3t級,,,,3.8,,,トラック11t積,,,,0.9,
タイヤローラ,,排出ガス対策型 8～20t,,,,14.8,,,トラック11t積,,,,1.7,
振動ローラ,,排出ガス対策型 搭乗式・タンデム型2.4～2.8t,,,,2.5,,,トラック11t積,,,,0.8,
(注) 1.運搬機械の日数は、トラック11t積による換算値である。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,- RA 16 -,,,,,,,
