Unnamed: 0,Unnamed: 1,配管保温(グラスウール),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,,　蒸気管(4/9),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,保 温 工 ［人］,,
,,摘要,,,,,,,,,,,材,,,料,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,雑,,,,運,,,,そ
,保 区温 分材 質,,,,,施 工 箇 所,,呼,単,グラスウール保温筒 ［ｍ］ アルミガラス 化粧原紙,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,材,,,,搬,,,,の
,,,,,,,,び,位,,,,,,,,,,,,,,,,,,,
,,,,,,,,径,,［ｍ２］ 20厚 30厚 40厚,,,,,,,,,,料,,,,費,,,,他
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1.05 － － 0.23,,,,,,,,,,,,,,,,0.046,,
,,,,,,,,15,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1.05 － －  0.25 1.05 － －  0.27,,,,,,,,,,,,,,,,0.049 0.054,,
,,,,,,,,20,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,25,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,－ 1.05 － 0.38,,,,,,,,,,,,,,,,0.062,,
,,,,,,,,32,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,１,,,,,,,,,
,,,,,,,,,,－ 1.05 － 0.40,,,,,,,,,式,,,,,,,0.07,,
,,,,,,,,40,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,－ 1.05 － 0.45,,,,,,,,,,,材,,,,,0.075,,
,,,,機,,,,50,,,,,,,,,,,,１ 式,,,,,,,,
,,,グ ラ ス ウ ル,,械室,,,,,,,,,,,,,,,,料,,,,,,,
,,,,,,,,65,,－ － 1.05 0.58,,,,,,,,,,,費,,,,,0.092,,
,蒸 気 管,,,,、,,,,,,,,,,,,,,0.58 材,,＋,,,,,,,1 式
,,,,,書,,,,m,－ － 1.05 0.63,,,,,,,,,料,,雑,,,,,0.099,,
,,,,,庫,,,80,,,,,,,,,,,費,,材,,,,,,,
,,,,,倉,,,,,,,,,,,,,,×,,料,,,,,,,
,,,,,,,,100,,－ － 1.05 0.73,,,,,,,,,0.05,,,,)費,,,0.132,,
,,,,庫,,,,,,,,,,,,,,,×,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,－ － 1.05 0.82,,,,,,,,,,,0.03,,,,,0.149,,
,,,,,,,,125,,,,,,,,,,,,,),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,150,,－ － 1.05 0.92,,,,,,,,,,,,,,,,0.176,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,－ － 1.05 1.11,,,,,,,,,,,,,,,,0.215,,
,,,,,,,,200,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,－ － 1.05 1.30,,,,,,,,,,,,,,,,0.264,,
,,,,,,,,250,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.325,,
,,,,,,,,300,,,,－ － 1.05 1.50,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(注)　1.　「その他」の率対象は、材料、雑材料、運搬費及び保温工とする。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,- ＲM 73 -,,,,,,,,,,,,,
