Unnamed: 0,Unnamed: 1,配管保温(グラスウール) 　蒸気管(5/9),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,,,,,,,,,,,,材料,,,,,,,,,,,保 温 工 ［人］,,
,,,,摘要,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,保 区温 分材 質,,,,,,施 工 箇 所,,,,単,グラスウール保温筒 アルミガラスクロス,,,,,雑,,,,運,,,,そ
,,,,,,,,,,呼,,［ｍ］ ［ｍ］,,,,,,,,,,,,,
,,,,,,,,,,び,,,,,,,材,,,,搬,,,,の
,,,,,,,,,,,位,20厚 30厚 40厚 100幅 125幅,,,150幅,,料,,,,費,,,,他
,,,,,,,,,,径,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.05 － － 3.0 －,,,－,,,,,,,,0.046,,
,,,,,,,,,,15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.05 － － 3.2 －,,,－,,,,,,,,0.049 0.054,,
,,,,,,,,,,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.05 － － 3.6 －,,,－,,,,,,,,,,
,,,,,,,,,,25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,－ 1.05 － 5.0 －,,,－,,,,,,,,0.062,,
,,,,,,,,,,32,,,,,,,,,,,,,,,
,,,,,天,,,,,,,,,,,１,,,,,,,,,
,,,,,井,,,,,,,－ 1.05 － 5.3 －,,,－,式,,,,,,,0.07,,
,,,,,内,,,,,40,,,,,,,,,,,,,,,
,,,,,、,,,,,,,－ 1.05 － － 4.5,,,－,,,材,,,,,0.075,,
,,,,,パ,,,,,50,,,,,,,１ 式,,,,,,,,
,,,,,イ,,,,,,,,,,,,,料,,,,,,,
,,,グ,,プ,,,,,,,－ － 1.05 － 5.8,,,－,,,費,,,,,0.092,,
,蒸 気 管,,ラ,,シ,,,,,65,,,,,,－材,,＋,,,,,,,1 式
,,,ス,,,,,,,,m,,,,,料,,雑,,,,,,,
,,,ウ,,,,フ ト 内 及 び 空 隙 壁 中,,,80,,－ － 1.05 － －,,,5,費,,材,,,,,0.099,,
,,,ル,,,,,,,,,,,,,×,,料,,,,,,,
,,,,,,,,,,100,,－ － 1.05 － －,,,5.8,0.05,,)費,,,,,0.132,,
,,,,,,,,,,,,,,,,×,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,－ － 1.05 － －,,,6.6,,,0.03,,,,,0.149,,
,,,,,,,,,,125,,,,,,,,),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,150,,－ － 1.05 － －,,,7.3,,,,,,,,0.176,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,－ － 1.05 － －,,,8.9,,,,,,,,0.215,,
,,,,,,,,,,200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,－ － 1.05 － －,,,10.5,,,,,,,,0.264,,
,,,,,,,,,,250,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,－ － 1.05 － －,,,12,,,,,,,,0.325,,
,,,,,,,,,,300,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
(注)　1.　「その他」の率対象は、材料、雑材料、運搬費及び保温工とする。,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,- ＲM 74 -,,,,,,,,,,,
