Unnamed: 0,Unnamed: 1,配管保温(グラスウール) 　蒸気管(6/9),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,,,,,,,,,,,材料,,,,,,,,,,,,保 温 工 ［人］,,
,,,,摘要,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,保 区温 分材 質,,,,,,施 工 箇 所,,,,単,アルミガラスクロス アクルロスミガ粘ラ着ス 化粧保温筒   クロテスー粘プ着 ［ｍ］ テ［ーｍ］プ,,,,,雑,,,,,運,,,,そ
,,,,,,,,,,呼,,,,,,,,,,,,,,,,
,,,,,,,,,,び,,,,,,,材,,,,,搬,,,,の
,,,,,,,,,,,位,20厚 30厚 40厚 60幅 100幅,,,,,料,,,,,費,,,,他
,,,,,,,,,,径,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.05 － － 1.4 －,,,,,,,,,,,,0.034,,
,,,,,,,,,,15,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.05 － － 1.4  － 1.05 － － 1.5  －,,,,,,,,,,,,0.035 0.036,,
,,,,,,,,,,20,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,25,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,－ 1.05 － 1.8 －,,,,,,,,,,,,0.045,,
,,,,,,,,,,32,,,,,,,,,,,,,,,,
,,,,,天,,,,,,,,,,,,,,１,,,,,,,
,,,,,井,,,,,,,－ 1.05 － 1.8 －,,,,,,,式,,,,,0.05,,
,,,,,内,,,,,40,,,,,,,,,(,,,,,,,
,,,,,、,,,,,,,,,,,,,,,,,,,,,
,,,,,パ,,,,,50,,－ 1.05 － 1.9 －,,,,,１ 式,,,,,材 料 費 ＋ 雑 材 料 費,,0.054,,
,,,,,イ,,,,,,,,,,,,,,,,,,,,,
,,,グ,,プ,,,,,,,－ － 1.05 2.1 －,,,－材,,,,,,,,,0.078,,
,蒸 気 管,,ラ,,シ,,,,,65,,,,,,,,材,,,,,,,,1 式
,,,ス,,,,,,,,m,,,,,料,,,,,,,,,,
,,,ウ,,,,フ ト 内 及 び 空 隙 壁 中,,,80,,－ － 1.05 2.2 －,,,,費,,,,,,,,0.084,,
,,,ル,,,,,,,,,,,,,×,,,,,,,,,,
,,,,,,,,,,100,,－ － 1.05 2.3 －,,,,0.05,,,,,,,,0.105,,
,,,,,,,,,,,,,,,,,,,×,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,－ － 1.05 2.5 －,,,,,,,0.03,,,,,0.121,,
,,,,,,,,,,125,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,－ － 1.05 2.6 －,,,,,,,,,,,,0.146,,
,,,,,,,,,,150,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,－ － 1.05 － 2.8,,,,,,,,,,,,0.168,,
,,,,,,,,,,200,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,－ － 1.05 － 3.1,,,,,,,,,,,,0.193,,
,,,,,,,,,,250,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,－ － 1.05 － 3.4,,,,,,,,,,,,0.223,,
,,,,,,,,,,300,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
(注)　1.　「その他」の率対象は、材料、雑材料、運搬費及び保温工とする。,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,- ＲM 75 -,,,,,,,,,,,,
