Unnamed: 0,配管保温(グラスウール) 　蒸気管(8/9),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,摘要,,,,,,,,材,,料,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ダ ク ト 工 ［人］,,,,
,,,保施,,,呼単,,,グラスウール保温筒,,,ポリエチレンフィルム,,カラー亜鉛鉄板又は 溶融アルミニウム-亜鉛鉄板,,,,雑,,,,運保,,,,,,,,,,,そ の 他
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,区 分,,,,,,,,,,,,,,,,,,,,温,,,,,,,,,,,,
,,,温工,,,び,,,［ｍ］,,,［ｍ］,,［ｍ２］,,,,材,,,,搬,,,,,,,,,,,
,,,材箇,,,位,,,,,,,,,,,,,,,工,,,,,,,,,,,,
,,,質所,,,径,,,20厚 30厚,,40厚 100幅,125幅 150幅,200幅 250幅,0.27mm,0.35mm,,,料,,,,費,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,［人］,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,15,,1.05 －,,－ 5.0,－－,－－,0.34,－,,,,,,,,,,0.041 0.072,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20,,1.05 －,,－ 5.4,－－,－－,0.36,－,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.043 0.075,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋,,,,,,,25,,1.05 －,,－ 5.9,－－,－－,0.39,－,,,,,,,,0.047,,,,0.082,,,,,,
房厨外露,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,32,,－ 1.05,,－－,6.4 －,－－,0.5,－,,,,,１,,,0.055,,,,0.101,,,,,,
等房露出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
の多バル,,,,,,,40,,－ 1.05,,－－,6.8 －,－－,0.52,－,,,,,式,,,0.061,,,,0.105,,,,,,
多湿ル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
箇コ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ー所ニ,,,50,,－ 1.05,,－－,7.5 －,－－,0.57,－,,,１,,材,,,0.066,,,,0.114,,,,,,
,,,グ ラ ス ウ ル,,,,,,,,,,,,,,,式,,料,,,,,,,,,,,,,
,,,,厨開,,,,,,,,,,,,,,,,費,,,,,,,,,,,,,
,蒸 気 管,,,房開放,,,65,,－－,,1.05 －,9.5 －,－－,0.71,－,,,材,,＋,,,0.08,,,,0.143,,,,,,1 式
,,,,,,,,,,,,,,,,,,,,雑,,,,,,,,,,,,,
,,,,の廊,,,m,,,,,,,,,,,料,,,,,,,,,,,,,,,
,,,,天廊下,,,80,,－－,,1.05 －,－ 8.6,－－,0.76,－,,,費 ×,,材 料,,,0.088,,,,0.153,,,,,,
,,,,井下を,,,,,,,,,,,,,,0.05,,費,,,,,,,,,,,,,
内含を,,,,,,,100,,－－,,1.05 －,－ 9.8,－－,0.86,－,,,,,×,,,0.115,,,,0.174,,,,,,
。は含む,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,125,,－－,,1.05 －,－ 11.0,－－,0.97,－,,,,,0.03,,,0.132,,,,0.196,,,,,,
,,,,ま,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
。いな及び,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,150,,－－,,1.05 －,－ 12.2,－－,1.07,－,,,,,,,,0.155,,,,0.216,,,,,,
浴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
室,,,,,,,200,,－－,,1.05 －,－－,11.1 －,－,1.27,,,,,,,,0.19,,,,0.265,,,,,,
,,,,、,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,250,,－－,,1.05 －,－－,12.9 －,－,1.48,,,,,,,,0.232,,,,0.305,,,,,,
,,,,,,,300,,－－,,1.05 －,－－,－ 11.8,－,1.68,,,,,,,,0.286,,,,0.348,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(注)　1.　「その他」の率対象は、材料、雑材料、運搬費、保温工及びダクト工とする。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
