(ダクト類保温),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
表ＲＭ－１－１４【市】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ダクト類保温(ロックウール),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ダ,,,クト,,,,,工,,
,,,,摘,,要,,,,,,,,,,,材,,,,,,,料,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,保 温 工 ［人］,,,,,,,,,,,
,,,,保 温 材 質,,,,,保単,,,,,,,アルミガ アルミガ ラスクロ ラスクロ ス化粧保 ス化粧保 温板 温帯,,,,,,アルミガラスクロス,,,,,,,,外 装 材 ［ｍ２］ 1.75,,,,,雑 材 料,,運 搬 費,,,,亜鉛,,,カラー 溶融アルミ,,,,,ステン,,そ の 他
,区 　 分,,,,,,,,温　 厚位,,,鋲,,ロック ロック ウール ウール 保温板 保温帯,,,,,,ポリエ エマル チレン ジョン ﾌｨﾙﾑ 接着剤,,粘着テープ,,,,ガラス クロス,銅きっ 甲金網 (10目),きっ甲 金網 (鉄) ［ｍ２］,,,,,,,,,,,,,,,,亜鉛 ニウム-,,,,,レス,,
,,,,,施工箇所,,,,,,,38L 65L,,,,,,,,,,65幅 85幅 110幅,,,,,,,,,,,,,,,,,,,鉄板,,,鉄板 亜鉛鉄板,,,,,鋼板,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4mm,,,0.35mm 0.35mm,,,,,0.3mm,,
