表 RA - 2 -40 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
トラック運転 (1日当たり),,,,,,,,,,,,,,,,,,
名 称,,,,,摘 要,,,単位,,,,11t積,,備 考,,,,
運転手(一般),,,,,,,,人,,,,1,,,,,,
燃 料,,,,,軽油,,,Ｌ,,,,46.7,,,,,,
機 械 損 料,,,,,,,,供用日,,,,1.13,,,,,,
そ の 他,,,,,,,,式,,,,1,,,,,,
(注)1.「その他」の率対象は、運転手(一般)、燃料とする。,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表 RA - 2 -41 【市】,,,,,,,,,,,,,,,,,,
,,土工機械分解組立 (1回当たり),,,,,,,,,,,,,,,,
名,,,称,,,摘 要,単位,,所要量,,,,備,,,,考,
ラフテレーンクレーン,,,,,,,日,,,,,,別表 RA-2-41-1 による,,,,,
特 殊,,,作業員,,,,人,,,,,,別表 RA-2-41-1 による,,,,,
雑,,,費,,,,式,,1,,,,労務費の合計に乗じる,,,,,
,,,,,,,,,,,,,別表 RA-2-41-1 による,,,,,
そ,,,の他,,,,式,,1,,,,,,,,,
(注)1.「その他」の率対象は、特殊作業員、雑費とする。,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
別表 RA - 2 -41- 1 【市】【専】,,,,,,,,,,,,,,,,,,
,土工機械分解組立,,,,,,,,,,,,,,,,,
機 械 名,,,,規 格,,,,分解組立,,,,,,,,,,備 考
,,,,,,,,労務,,,分解組立機械,,,,日数,雑費(％),,
バックホウ,,,,排出ガス対策型 油圧式クローラ型1.4ｍ3,,,,1.9,,,ラフテレーンクレーン 排出ガス対策型 油圧伸縮ジブ型25t吊,,,,1.5,3,,
クラムシェル,,,,油圧ロープ式 クローラ型0.6ｍ3,,,,7.1,,,ラフテレーンクレーン 排出ガス対策型 油圧伸縮ジブ型25t吊,,,,1.4,3,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,- RA 17 -,,,,,,,,
