　　自動制御機器(2/2),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
細　　　　目,摘要,単位,材料,,電工 ［人］,,調整費,その他,備考
,,,調節器類等 ［個］,,,,,,
自動制御盤類,壁掛形,面,1［面］,,2.4,,材料費×0.1,１式,
,自立形,,,,4.8,,,,
中央監視盤,デスク形,面,1［面］,,9.6,,材料費×0.1,１式,
データロガ,,面,1［面］,,2.8,,材料費×0.1,１式,
アフタクーラ,,基,1［基］,,-1.5,,材料費×0.1,１式,設備機械工
エアタンク,,基,1［基］,,-4,,材料費×0.1,１式,設備機械工
エアフィルター,,基,1［基］,,-0.4,,材料費×0.1,１式,設備機械工
ヘッダー,,基,1［基］,,-2,,材料費×0.1,１式,設備機械工
除湿装置,,台,1［台］,,-1.3,,材料費×0.1,１式,設備機械工
減圧弁装置,,組,1［組］,,-1.2,,材料費×0.1,１式,配管工
※調節器類,電子式,個,1,,0.95,,,１式,
,空気式,,,,0.75,,,,
※ステップコントローラ,,個,1,,1.5,,,１式,モーター取付け含む
※バランシングリレー,,個,1,,0.75,,,１式,
※リレー類,,個,1,,0.38,,,１式,
※トランス,,個,1,,0.35,,,１式,
※手動操作器,,個,1,,0.3,,,１式,
※温湿度指示計,,個,1,,1.8,,,１式,切換リレー類、指示切換 ユニットは除く
※温湿度記録計,,個,1,,1.8,,,１式,
※切換スイッチ,,個,1,,0.3,,,１式,
※変換器類,,個,1,,0.53,,,１式,
(注)　1.　労務には機器の取付け及び結線を含む。 　　　　2.　労務歩掛りの(　)は、設備機械工又は配管工を示す。 　　　　3.　※印は盤内に組込む場合を示す。 　　　　4.　「その他」の率対象は、電工及び調整費とする。 　　　　　　なお、アフタクーラ、エアタンク、エアフィルター、ヘッダー及び除湿装置は、設備機械工及び調整費とし、 　　　　　　減圧弁装置は、配管工及び調整費とする。,,,,,,,,,
,,,,,,,,,
,,,,- ＲM 88 -,,,,,
