４.【第４節　給排水衛生設備工事】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
４－１　一般事項,,,,,,,,
(１)本節に定める参考歩掛りにおける仕様は、公共建築工事標準仕様書による。,,,,,,,,
４－２　参考歩掛り,,,,,,,,
(１)適用条件及び留意事項,,,,,,,,
イ.衛生器具設備及びスプリンクラー設備の取付けに適用する。,,,,,,,,
ロ.スプリンクラー設備は部分的な改修工事等に適用することを原則とする。,,,,,,,,
(２)細目工種,,,,,,,,
(衛生器具設備),,,,,,,,
表ＲＭ－４－１【市】【設】,,,,,,,,
,,,,,,,,
,衛生器具(1/2),,,,,,,
細目,,記号,摘 要 単位,,,材料,配管工 ［人］,その他
,,,,,,衛生器具［組］,,
和風便器,,,洗浄弁式,,,1,1.34,１式
,,,タンク式(ロータンク) 組,,,,1.85,
,,,タンク式(ハイタンク),,,,1.94,
大便器,,C 1111 C 1111R C 1111S,高座面形、洗浄弁式,,,1,2.1,１式
,,,組 高座面形・タンク式,,,,1.56,
,,C 710 C 910 C 1200 C 1210 C 710R C 910R C 710S C 910S C 1200R C 1210R C 1200S C 1210S,洗浄弁式,,,1,1.06,
,,,タンク式(ロータンク) 組,,,,1.56,
,,,タンク式(ハイタンク),,,,1.65,
小便器,,U 510,洗浄弁式床置小便器,,,1,1.28,１式
,,U 511,,,,,1.14,
,,U 520,洗 浄 弁 式 壁 掛小 便 器 組,,,,0.98,
,,U 521,,,,,0.83,
,,U 610,専用洗浄弁式床置小便器,,,,1.28,
,,U 620,専用洗浄弁式壁掛小便器,,,,0.98,
洗面器,,L 410 L 420 L 511,自動水栓１個付,,,1,0.69,１式
,,,組 自動混合水栓１個付,,,,0.79,
(注)　1.　大便器の便座は普通便座とする。 　 　 　2.　「その他」の率対象は、配管工とする。,,,,,,,,
,,,,,- ＲM 89 -,,,
