Unnamed: 0,衛生器具(2/2),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
細 目 記 号 摘 要 単位,,,,材料,配管工 ［人］,その他
,,,,衛生器具［組］,,
L-710 手 洗 器 組 L-730,,,,1,0.3,１式
洗 面 化 粧 台 組,,,,1,0.58,１式
洗 濯 機 パ ン ト ラ ッ プ 付 組,,,,1,0.48,１式
S-210 掃 除 流 し バック付き掃除流し 組 NS-210,,,,1,1.1,１式
飲 料 用 冷 水 器 立 形 冷 水 水 飲 器 組,,,,1,0.69,１式
化 粧 棚 陶 器 製 縁 付 個,,,,1［個］,0.15,１式
鏡 防 湿 形 縁 な し 枚,,,,1［枚］,0.23,１式
身 障 者 用 鏡 防 湿 形 縁 な し 枚,,,,1［枚］,0.4,１式
水 石 け ん 入 れ 壁 付 押 ボ タ ン 式 個,,,,1［個］,0.1,１式
シートペーパーホルダ 個,,,,1［個］,0.13,１式
仕 切 板 小 便 器 用 、 陶 製 個,,,,1［個］,0.13,１式
メディシングキャビネット 露 出 形 個,,,,1［個］,0.13,１式
タ オ ル 掛 け 金 属 製 個,,,,1［個］,0.13,１式
紙 巻 器        (合紙巻器のみ取付の場)  個,,,,1［個］,0.13,１式
大便器用 (洗浄弁のみ取付の場合) 洗 浄 弁 個 小便器用 (洗浄弁のみ取付の場合),,,,1［個］,0.35,１式
,,,,,0.16,
シ ャ ワ ー セ ッ ト        湯固水定混合式栓シ、ャ吐ワ水ー口  組,,,,1,1,１式
一括式 小便器用節水装置 組 個別式,,,,1,0.5,１式
,,,,,0.16,
和風大便器耐火カバー 個,,,,1［個］,0.5,１式
温水洗浄式便座 組,,,,1,0.25,１式
(注)　1.　「その他」の率対象は、配管工とする。,,,,,,
,,,,,,
,,- ＲM 90 -,,,,
