(消火設備),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
表ＲＭ－４－２【専】,,,,,,,,
,,,,,,,,
,スプリンクラー設備,,,,,,,
細目,,摘要,,,単位,材料,配管工 ［人］,その他
,,,,,,流水検知装置等 ［組］,,
80A,,,,,,,3,
流水検知装置,,100,,,組,1,3.3,１式
,,125,,,,,3.6,
150,,,,,,,4,
,,7.5 kW 以下,,,,,2.5,
ポンプ制御盤,,11 ～ 19 kW,,,面,1［面］,2.8,１式
,,22 kW,,,,,3.3,
37 kW 以上,,,,,,,4,
スプリンクラーヘッド,,天井穴明け、附属品共,,,個,1［個］,0.18,１式
同上用保護網,,,,,個,1［個］,0.07,１式
末端試験弁,,25A 仕切弁、テスト用放水口、圧力計共,,,組,1,0.5,１式
起動用水圧開閉装置,,100L 圧力タンク、附属品共,,,組,1,2.5,１式
呼水槽,,100L、150L　ブラケット共,,,基,1［基］,2,１式
スプリンクラー用送水口,,65A 埋込形、銘板共,,,個,1［個］,0.6,１式
ベル,,,,,個,1［個］,0.2,１式
流量測定装置,,　仕切弁共,,,組,1,1,１式
補助散水栓箱(埋込形),,　ホース、ノズル、ホース収納装置、 (発信機、表示灯、電鈴)箱,,,組,1,1.4,１式
補助散水栓箱(露出形),,　ホース、ノズル、ホース収納装置、 (発信機、表示灯、電鈴)箱,,,組,1,1.25,１式
(注)　1.スプリンクラーヘッド、同上用保護網、末端試験弁及びスプリンクラー用送水口の「その他」の率は、 　　　　　　表３－１－３ 機械設備工事の「配管附属品」による。それ以外は「衛生機器」による。 　　　　2.　「その他」の率対象は、配管工とする。,,,,,,,,
,,,,,,,,
,,,- ＲM 91 -,,,,,
