３.【第３節 地 業】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
１ 一般事項,,,,,,,,,,,,,,,,
(１)本節に定める参考歩掛りにおける仕様は、公共建築工事標準仕様書による。,,,,,,,,,,,,,,,,
(２)構造体強度補正の費用については、別途計上する。,,,,,,,,,,,,,,,,
(３)鉄筋及び鋼材を工場にて加工する場合は運搬費を計上する。,,,,,,,,,,,,,,,,
(４)鉄筋及び鋼材を加工する際に発生する材料の残材については、第４節及び第７節によ,,,,,,,,,,,,,,,,
る。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2 参考歩掛り,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
(１)適用条件及び留意事項,,,,,,,,,,,,,,,,
建築構造物等の既製コンクリート杭における杭頭補強に適用する。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
(２)細目工種 表 RA - 3 - 1 【設】,,,,,,,,,,,,,,,,
,既製コンクリート杭杭頭補強 (１か所当たり),,,,,,,,,,,,,,,
名 称,,,摘,,要,,単位,中詰めコンクリート補強筋有り,,,,,,,,中詰めコンクリ ート補強筋無し
,,,,,,,,杭径300,,杭径350,杭径400,,杭径450,杭径500,杭径600,杭径300～600
コンクリート,,,,,,,ｍ3,0.012,,0.02,0.03,,0.05,0.06,0.12,－
杭頭補強用底板,,,,,,,個,1,,1,1,,1,1,1,1
異形鉄筋,,,SD295 D10,,,,㎏,1.6,,2.1,3,,4,5,6.9,－
異形鉄筋,,,SD295 D13,,,,㎏,4,,6.5,7,,9.9,10.5,11.8,－
鉄筋工,,,,,,,人,0.05,,0.05,0.06,,0.09,0.1,0.12,－
特殊作業員,,,,,,,人,0.02,,0.03,0.05,,0.08,0.09,0.19,0.02
普通作業員,,,,,,,人,0.02,,0.02,0.02,,0.02,0.02,0.02,－
その他,,,,,,,式,1,,1,1,,1,1,1,1
(注)1.「その他」の率対象は、鉄筋工、特殊作業員、普通作業員とする。,,,,,,,,,,,,,,,,
,,2.中詰めコンクリート補強筋は次による。,,,,,,,,,,,,,,
,,杭径300以下,,4-D13,,,,,,,,,,,,
,,杭径350～400,,6-D13,,,,,,,,,,,,
,,杭径450～600,,8-D13,,,,,,,,,,,,
,,帯筋,,D10-100@,,,,,,,,,,,,
,,中詰めコンクリート補強筋には、フックを付けない。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,- RA 18 -,,,,,,
