(２)細目工種 表 RA - 4 - 1 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,鉄筋工場加工 (1t当たり),,,,,,,,,,,,,,,
名 称,,,,,摘 要,,単位,一般,,,,備 考,,,,
,,,,,,,,太 物,,細 物,,,,,,
鉄 筋 工 普 通 作 業 員 工 場 管 理 費 そ の 他,,,,,(労)×(３０～６０％ ),,人 人 式 式,0.26 0.06 1 1,,0.73 0.18 1 1,,,,,,
(注)1. 運搬費は、別途計上する。,,,,,,,,,,,,,,,,
2.「その他」の率対象は、鉄筋工、普通作業員、工場管理費とする。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
表 RA - 4 - 2 【専】,,,,,,,,,,,,,,,,
鉄筋現場加工 (1t当たり),,,,,,,,,,,,,,,,
,,名,称,,摘,要,単位,一,,般,,備,,,考,
,,,,,,,,太 物,,細 物,,,,,,
鉄,,,筋,工,,,人,0.32,,0.92,,,,,,
普,,通,作業,員,,,人,0.06,,0.18,,,,,,
そ,,,の,他,,,式,1,,1,,,,,,
(注)1.「その他」の率対象は、鉄筋工、普通作業員とする。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
表 RA - 4 - 3 【市】【専】,,,,,,,,,,,,,,,,
,鉄筋組立                                 (1t当たり),,,,,,,,,,,,,,,
,,,,,,,,Ｒ Ｃ 造,,,,,,Ｓ,Ｒ Ｃ,造
名 称,,,,,摘 要,,単位,太 物,,太 物,,細 物,,太 物,細 物,スパイラル
,,,,,,,,(圧接),,(重ね),,,,(圧接),,筋
鉄 筋 工,,,,,,,人,0.79,,0.93,,2.13,,1,2.25,1.73
普 通 作 業 員,,,,,,,人,0.13,,0.15,,0.41,,0.17,0.43,0.32
結 束 線,,,,,#21,,㎏,0.5,,1,,6,,0.5,6,5
そ の 他,,,,,,,式,1,,1,,1,,1,1,1
(注)1.ＳＲＣ造において、フープ筋をスパイラル筋としない場合は、細物の鉄筋工2.25人を2.35人とする。,,,,,,,,,,,,,,,,
2.コンクリート打設時の鉄筋点検保守を含む。,,,,,,,,,,,,,,,,
3.「その他」の率対象は、鉄筋工、普通作業員、結束線とする。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,- RA 20 -,,,,,,,
