表 RA - 4 - 4 【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,梁貫通孔補強鉄筋現場加工                       (1t当たり),,,,,,,,,
名 称,,摘 要,単位,太 物,細 物,,備 考,,,
鉄 筋 工 普 通 作 業 員 そ の 他,,,人 人 式,2.23 0.2 1,2.7 0.25 1,,,,,
(注)1.「その他」の率対象は、鉄筋工、普通作業員とする。,,,,,,,,,,
,,,,,,,,,,
表 RA - 4 - 5 【専】,,,,,,,,,,
,ガス圧接 (1か所当たり),,,,,,,,,
名 称,,摘 要,単位,径19㎜,径22㎜,,径25㎜,径29㎜,,備 考
酸 素,,,ｍ３,0.03,0.04,,0.05,0.065,,
ア セ チ レ ン,,,㎏,0.03,0.04,,0.05,0.065,,
溶 接 工,,,人,0.017,0.018,,0.019,0.025,,
普 通 作 業 員,,,人,0.009,0.009,,0.01,0.012,,
そ の 他,,,式,1,1,,1,1,,
(注)1.「その他」の率対象は、酸素、アセチレン、溶接工、普通作業員とする。,,,,,,,,,,
,,,,,,,,,,
表 RA - 4 - 6 【市】【専】,,,,,,,,,,
,鉄筋加工組立(Ｓ造スラブ) (1t当たり),,,,,,,,,
,,,,鉄筋加工,,,鉄 筋,,,
名 称,,摘 要,単位,,,,,備 考,,
,,,,工場,現場,,組 立,,,
鉄 筋 工,,,人,0.48,0.59,,1.49,,,
普 通 作 業 員,,,人,0.12,0.12,,0.28,,,
工 場 管 理 費,,(労)×(30～60％),式,1,―,,―,,,
結 束 線,,#21,㎏,―,―,,6,,,
そ の 他,,,式,1,1,,1,,,
(注)1. 配筋は格子状型でＤ10を55％、Ｄ13を45％程度の場合とする。,,,,,,,,,,
2. コンクリート打設時の鉄筋点検保守を含む。,,,,,,,,,,
3.「その他」の率対象は、鉄筋工、普通作業員、工場管理費、結束線とする。,,,,,,,,,,
,,,,,,,,,,
表 RA - 4 - 7 【専】,,,,,,,,,,
工場加工鉄筋運搬 (１t当たり往復),,,,,,,,,,
名 称,,摘 要,単位,太物,細物,,備,,考,
トラック運転,,4ｔ積,日,0.13,0.15,,,,,
,,,,,,,,,,
,,,,- RA 21 -,,,,,,
