表 RA - 4 - 8 【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
トラック運転                           (1日当たり),,,,,,,,,,,,
名 称,,,,,摘 要,単位,,4t積,,,備 考,
運転手(一般),,,,,,人,,1,,,,
燃 料,,,,,軽油,Ｌ,,25.7,,,,
機 械 損 料,,,,,,供用日,,1.13,,,,
そ の 他,,,,,,式,,1,,,,
(注)1.「その他」の率対象は、運転手(一般)、燃料とする。,,,,,,,,,,,,
,,,,,,,,,,,,
表 RA - 4 - 9 【市】 鉄筋加工組立(小型構造物) (１t当たり),,,,,,,,,,,,
,名,,称,,摘 要,単位,小型構造物,,,備,,考
鉄,,筋,,工,,人,4.5,,,,,
普,通,作,業,員,,人,0.9,,,,,
結,,束,,線,#21,kg,6,,,,,
そ,,の,,他,,式,1,,,,,
(注)1.「その他」の率対象は、鉄筋工、普通作業員、結束線とする。,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,- RA 22 -,,,,,
