５.【第 5 節 コンクリート】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
１ 一般事項,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,本節に定める参考歩掛りにおける仕様は、公共建築工事標準仕様書による。,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
２ 参考歩掛り,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
(１)適用条件及び留意事項,,,,,,,,,,,,,,,,
イ.建築構造物等のコンクリート打設手間及びポンプ圧送に適用する。,,,,,,,,,,,,,,,,
ロ.建築構造物の階高は、3.5ｍ以上4.0ｍ程度を標準とする。,,,,,,,,,,,,,,,,
ハ.スランプは15～18㎝に適用する。,,,,,,,,,,,,,,,,
ニ.小型構造物の打設手間は、工作物の基礎等で１か所当たり１ｍ3程度のコンクリー,,,,,,,,,,,,,,,,
ト量で点在する構造物及び高さ１ｍ程度の擁壁、囲障の基礎等に適用する。,,,,,,,,,,,,,,,,
ホ.コンクリート打設手間の部位による補正を下表に示す。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
打 設 部 位,,,,一 般,,耐圧版・スラブ,,,,土 間,,,捨ｺﾝｸﾘｰﾄ,,防水保護ｺﾝｸﾘｰﾄ,
補 正 係 数,,,,1,,0.48,,,,0.38,,,0.46,,0.48,
(注) 1. スラブとは、Ｓ造でスラブ面のみコンクリート構造としたものである。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
(２)細目工種 表 RA - 5 - 1 【市】【専】,,,,,,,,,,,,,,,,
,コンクリート打設手間(ブーム式)                  (1ｍ3当たり),,,,,,,,,,,,,,,
名 称,,,,摘 要,単位,,１回当たりの打設量,,,,,,,,,
,,,,,,,20ｍ3未満,,,20ｍ3以上 50ｍ3未満,,50ｍ3以上 100ｍ3未満,,100ｍ3以上 170ｍ3未満,,170ｍ3以上
特殊作業員,,,,,人,,0.13,,,0.12,,0.093,,0.067,,0.063
その他,,,,,式,,1,,,1,,1,,1,,1
(注)1. 打設時の型枠及び鉄筋の点検保守を含まない。,,,,,,,,,,,,,,,,
2.「その他」の率対象は、特殊作業員とする。,,,,,,,,,,,,,,,,
表 RA - 5 - 2 【市】【専】,,,,,,,,,,,,,,,,
,コンクリート打設手間(配管式)                   (1ｍ3当たり),,,,,,,,,,,,,,,
名 称,,,,摘 要,単位,,１回当たりの打設量,,,,,,,,,備 考
,,,,,,,50ｍ3未満,,,50ｍ3以上 100ｍ3未満,,100ｍ3以上 170ｍ3未満,,170ｍ3以上,,
特殊作業員,,,,,人,,0.13,,,0.1,,0.072,,0.068,,
その他,,,,,式,,1,,,1,,1,,1,,
(注)1. 打設時の型枠及び鉄筋の点検保守を含まない。,,,,,,,,,,,,,,,,
,,2.「その他」の率対象は、特殊作業員とする。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,- RA 23 -,,,,,,,,
