表 RA - 5 - 3 【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,コンクリートポンプ組立(ブーム式) (ポンプ車１回１台当たり),,,,,,,,,,,
名 称,,,摘 要,単位,１回当たりの打設量,,,,,,,
,,,,,20ｍ3未満,,20ｍ3以上 50ｍ3未満,,50ｍ3以上 100ｍ3未満,,100ｍ3以上 170ｍ3未満,170ｍ3以上
ポンプ車損料,,,20ｍ3/h,ｈ,4.5,,－,,－,,－,－
ポンプ車損料,,,60ｍ3/h,ｈ,－,,4,,6,,2,－
ポンプ車損料,,,80ｍ3/h,ｈ,－,,－,,－,,－,2
燃料,,,軽 油,Ｌ,6.2,,10.7,,10.7,,10.7,14
運転手(特殊),,,,人,0.56,,0.5,,0.75,,0.25,0.25
特殊作業員,,,,人,1.12,,1,,1.5,,0.5,0.5
その他,,,,式,1,,1,,1,,1,1
(注)1. ポンプ車の回送時間を含む。,,,,,,,,,,,,
,,2.「その他」の率対象は、燃料、運転手(特殊)、特殊作業員とする。,,,,,,,,,,
,,,,,,,,,,,,
表 RA - 5 - 4 【専】,,,,,,,,,,,,
,コンクリートポンプ組立(配管式) (ポンプ車１回１台当たり),,,,,,,,,,,
名 称,,,摘 要,単位,１回当たりの打設量,,,,,,,備 考
,,,,,50ｍ3未満,,50ｍ3以上 100ｍ3未満,,100ｍ3以上 170ｍ3未満,,170ｍ3以上,
ポンプ車損料,,,60ｍ3/h,ｈ,5,,7,,3,,－,
ポンプ車損料,,,80ｍ3/h,ｈ,－,,－,,－,,3,
燃料,,,軽 油,Ｌ,10.2,,10.2,,10.2,,10.7,
運転手(特殊),,,,人,0.63,,0.88,,0.38,,0.38,
特殊作業員,,,,人,1.26,,1.76,,0.76,,0.76,
その他,,,,式,1,,1,,1,,1,
(注)1. ポンプ車の回送時間を含む。,,,,,,,,,,,,
2.「その他」の率対象は、燃料、運転手(特殊)、特殊作業員とする。,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,- RA 24 -,,,,,,
