表 RA - 5 - 5 【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,コンクリートポンプ運転(ブーム式)               (1ｍ3当たり),,,,,,,,,,,,,,,,
,,,１回当たりの打設量,,,,,,,,,,,,,,
名 称,,摘 要,単位,20ｍ3未満,,,20ｍ3以上 50ｍ3未満,,,,50ｍ3以上 100ｍ3未満,,100ｍ3以上 170ｍ3未満,,170ｍ3以上,,備考
ポンプ車損料,,60ｍ3/h,ｈ,－,,,－,,,,－,,0.039,,－,,
ポンプ車損料,,80ｍ3/h,ｈ,－,,,－,,,,－,,－,,0.029,,
燃料,,軽 油,Ｌ,0.72,,,0.42,,,,0.42,,0.42,,0.41,,
運転手(特殊),,,人,－,,,－,,,,－,,0.006,,0.004,,
特殊作業員,,,人,－,,,－,,,,－,,0.012,,0.008,,
その他,,,式,1,,,1,,,,1,,1,,1,,
(注)1.「その他」の率対象は、燃料、運転手(特殊)、特殊作業員とする。,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
表 RA - 5 - 6 【専】,,,,,,,,,,,,,,,,,
,コンクリートポンプ運転(配管式)                (1ｍ3当たり),,,,,,,,,,,,,,,,
名 称,,摘 要,単位,１回当たりの打設量,,,,,,,,,,,,備 考,
,,,,50ｍ3未満,,,,,50ｍ3以上 100ｍ3未満,,,100ｍ3以上 170ｍ3未満,,170ｍ3以上,,,
ポンプ車損料,,60ｍ3/h,ｈ,－,,,,,－,,,0.042,,－,,,
ポンプ車損料,,80ｍ3/h,ｈ,－,,,,,－,,,－,,0.031,,,
燃料,,軽 油,Ｌ,0.42,,,,,0.42,,,0.42,,0.33,,,
運転手(特殊),,,人,－,,,,,－,,,0.006,,0.005,,,
特殊作業員,,,人,－,,,,,－,,,0.012,,0.01,,,
その他,,,式,1,,,,,1,,,1,,1,,,
(注)1.「その他」の率対象は、燃料、運転手(特殊)、特殊作業員とする。,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
表 RA - 5 - 7 【専】,,,,,,,,,,,,,,,,,
,コンクリート配管受台                     (１㎡当たり),,,,,,,,,,,,,,,,
名 称,,摘 要,,,単位,,,,所要量,,,備 考,,,,,
道 板 受 台,,,,,個,,,,0.25,,,2％,,,,,
角 材,,,,,ｍ3,,,,0.0013,,,13％,,,,,
合 板 足 場 板,,"240×4,000mm",,,枚,,,,0.13,,,2％,,,,,
鉄 線,,,,,㎏,,,,0.01,,,,,,,,
と び 工,,,,,人,,,,0.001,,,,,,,,
そ の 他,,,,,式,,,,1,,,,,,,,
(注)1. 備考欄の数値は、１現場当たり損料率を示す。,,,,,,,,,,,,,,,,,
2.配管式ポンプ車打設時に適用する。,,,,,,,,,,,,,,,,,
3.「その他」の率対象は、鉄線、とび工とする。,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,- RA 25 -,,,,,,,,,,,
