別表 RA - 7 - 1 - 1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
１㎡当たり鋼材使用量による増減率,,,,,,,,,,,,,,,,,,,,
１㎡当たり 鋼 材 使 用 量(㎏),,５０ 未満,,５０以上 ５５未満,,５５以上 ６０未満,６０以上 ６５未満,,６５以上 ７０未満,,,７０以上 ８０未満,,８０以上 ９０未満,,９０以上 １１０未満,１１０以上 １３０未満,１３０以上 １５０未満,１５０以上 １９０未満,１９０以上 ２５０未満
増 減 率,,1.3,,1.26,,1.22,1.18,,1.14,,,1.1,,1.05,,1,0.95,0.89,0.84,0.77
,,,,,,,,,,,,,,,,,,,,
別表 RA - 7 - 1 - 2,,,,,,,,,,,,,,,,,,,,
鋼材総使用量による増減率,,,,,,,,,,,,,,,,,,,,
鋼材総使用量 (t),,,,１０ 未満,,１０以上 １５未満,１５以上 ２０未満,,２０以上 ３０未満,,,３０以上 ５０未満,,５０以上 ８０未満,,８０以上 １５０未満,１５０以上 ２５０未満,２５０以上 ５００未満,"５００以上 1,000未満","1,000以上"
増 減 率,,,,1.34,,1.3,1.26,,1.22,,,1.18,,1.14,,1.1,1.05,1,0.95,0.89
,,,,,,,,,,,,,,,,,,,,
表 RA - 7 - 2 【専】,,,,,,,,,,,,,,,,,,,,
,トルシア形高力ボルト締付け(ビル鉄骨) (100本当たり),,,,,,,,,,,,,,,,,,,
締付本数 名称,,,単位,"1,000未満",,"1,000以上 2,000未満","2,000以上 3,000未満",,"3,000以上 4,000未満",,,"4,000以上 5,000未満",,"5,000以上 6,000未満",,"6,000以上 7,000未満","7,000以上 8,000未満","8,000以上 9,000未満","9,000以上 10,000未満","10,000以上"
鉄 骨 工,,,人,0.78,,0.77,0.75,,0.73,,,0.71,,0.69,,0.67,0.65,0.63,0.61,0.6
締付機器,,,日,0.56,,0.55,0.54,,0.52,,,0.51,,0.49,,0.47,0.46,0.44,0.43,0.42
そ の 他,,,式,1,,1,1,,1,,,1,,1,,1,1,1,1,1
(注)1. 締付機器は電動レンチ(Ｍ２４用)とする。,,,,,,,,,,,,,,,,,,,,
2. JIS形高力ボルト締付けについては10％増しとする。,,,,,,,,,,,,,,,,,,,,
3.「その他」の率対象は、鉄骨工とする。,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
表 RA - 7 - 3,,,,,【専】,,,,,,,,,,,,,,,
,トルシア形高力ボルト締付け(大張間構造) (100本当たり),,,,,,,,,,,,,,,,,,,
名 称,,,,摘 要,,,,単位,,所要量,,,備 考,,,,,,,
鉄 骨 工,,,,,,,,人,,0.8,,,,,,,,,,
締 付 機 器,,,,,,,,日,,0.58,,,,,,,,,,
そ の 他,,,,,,,,式,,1,,,,,,,,,,
(注)1.締付機器は電動レンチ(Ｍ２４用)とする。,,,,,,,,,,,,,,,,,,,,
2. JIS形高力ボルト締付けについては10％増しとする。,,,,,,,,,,,,,,,,,,,,
3.「その他」の率対象は、鉄骨工とする。,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,- RA 30 -,,,,,,,,,
