８.【第 8 節 既製コンクリート】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
1 一般事項,,,,,,,,,
本節に定める参考歩掛りにおける仕様は、公共建築工事標準仕様書による。,,,,,,,,,
2 参考歩掛り,,,,,,,,,
(１)適用条件及び留意事項,,,,,,,,,
標準歩掛り表A1 - 8 - 4の防水立上り部(れんが押さえ)の「れんが」にモルタル,,,,,,,,,
ブロック(セメントれんが)を使用することができる。,,,,,,,,,
,,,,,,,,,
(２)細目工種 表 RA - 8 - 1【設】,,,,,,,,,
,内壁コンクリートブロック帳壁(空洞ブロックA(08)) (1㎡当たり),,,,,,,,
,,,単位,,厚 さ,厚 さ,厚 さ,厚 さ,
名 称,,摘 要,,,,,,,備 考
,,,,,100㎜,120㎜,150㎜,190㎜,
建築用空洞ブロック,,,個,,13,13,13,13,
セメント,,,kg,,13.1,16.6,24.2,35.3,
細骨材,,砂,ｍ3,,0.03,0.03,0.05,0.07,
鉄筋,,Ｄ10,kg,,3.7,3.7,3.7,3.7,
建築ブロック工,,,人,,0.11,0.12,0.13,0.15,
普通作業員,,,人,,0.05,0.06,0.07,0.1,
その他,,,式,,1,1,1,1,
(注)1.「その他」の率対象は、建築用空洞ブロック、建築ブロック工、普通作業員とする。,,,,,,,,,
,,,,,,,,,
表 RA - 8 - 2 【設】,,,,,,,,,
内壁コンクリートブロック帳壁(空洞ブロックB(12)) (1㎡当たり),,,,,,,,,
,,,,,厚 さ,厚 さ,厚 さ,厚 さ,
名 称,,摘 要,単位,,,,,,備 考
,,,,,100㎜,120㎜,150㎜,190㎜,
建築用空洞ブロック,,,個,,13,13,13,13,
セメント,,,kg,,13.1,16.6,24.2,35.3,
細骨材,,砂,ｍ3,,0.03,0.03,0.05,0.07,
鉄筋,,Ｄ10,kg,,3.7,3.7,3.7,3.7,
建築ブロック工,,,人,,0.12,0.13,0.14,0.16,
普通作業員,,,人,,0.05,0.06,0.08,0.1,
その他,,,式,,1,1,1,1,
(注)1.「その他」の率対象は、建築用空洞ﾌﾞﾛｯｸ、建築ブロック工、普通作業員とする。,,,,,,,,,
,,,,,,,,,
,,,,- RA 32 -,,,,,
