表 RA - 8 - 3 【設】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
外壁コンクリートブロック帳壁(空洞ブロック16-Ｗ)              (1㎡当たり),,,,,,,,
,,,,厚 さ,厚 さ,厚 さ,厚 さ,
,,,,,,,,
,,,,,,,,
名 称,摘 要,単位,,,,,,備 考
,,,,100㎜,120㎜,150㎜,190㎜,
建築用空洞ブロック,,個,,13,13,13,13,
,,,,,,,,
セメント,,kg,,13.1,16.6,24.2,35.3,
細骨材,砂,ｍ3,,0.03,0.03,0.05,0.07,
鉄筋,Ｄ10,kg,,1.6,1.6,1.6,1.6,
鉄筋,Ｄ13,kg,,4,4,4,4,
建築ブロック工,,人,,0.12,0.13,0.14,0.16,
普通作業員,,人,,0.06,0.07,0.08,0.11,
その他,,式,,1,1,1,1,
,,,,,,,,
(注)1.「その他」の率対象は、建築用空洞ﾌﾞﾛｯｸ、建築ブロック工、普通作業員とする。,,,,,,,,
,,,,,,,,
,,,- RA 33 -,,,,,
