９.【第 9 節 防 水】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
１ 一般事項,,,,,,,,,,
本節に定める参考歩掛りにおける仕様は、公共建築工事標準仕様書による。,,,,,,,,,,
２ 参考歩掛り,,,,,,,,,,
(１)適用条件及び留意事項,,,,,,,,,,
イ.アスファルト防水及びシーリングに適用する。,,,,,,,,,,
ロ.シーリングの補足材は、バックアップ材等を含む。,,,,,,,,,,
,,,,,,,,,,
(２)細目工種 表 RA - 9 - 1 【市】,,,,,,,,,,
,屋根保護防水密着工法 (１㎡当たり),,,,,,,,,
名 称,,摘 要,単位,Ａ－１,,,,Ａ－２,,備 考
,,,,平 面,,立上り 立下り面,,平 面,立上り 立下り面,
アスファルトプライマー,,,㎏,0.2,,0.2,,0.2,0.2,
アスファルト,,3種,㎏,6,,6.93,,5,5.93,
ゴムアスファルト系シール材,,,L,―,,0.25,,―,0.25,
アスファルトルーフィング,,1500,㎡,2.28,,2.28,,1.14,1.14,
網状アスファルトルーフィング,,,㎡,―,,0.26,,―,0.26,
ストレッチルーフィング,,1000,㎡,2.28,,3.14,,2.28,3.14,
ポリエチレンフィルム,,厚0.15㎜,㎡,1.1,,―,,1.1,―,
燃料,,重油,L,1.8,,2.1,,1.5,1.8,
防水工,,,人,0.081,,0.13,,0.066,0.11,
普通作業員,,,人,0.026,,0.041,,0.021,0.035,
その他,,,式,1,,1,,1,1,
(注)1.「その他」の率対象は、アスファルトプライマー、アスファルト、ゴムアスファルト系シール材、アスファル,,,,,,,,,,
トルーフィング、網状アスファルトルーフィング、ストレッチルーフィング、ポリエチレンフィルム、燃料、防,,,,,,,,,,
水工、普通作業員とする。,,,,,,,,,,
,,,,,,,,,,
,,,,,- RA 34 -,,,,,
