表 RA - 9 - 2 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,屋根保護防水密着断熱工法 (１㎡当たり),,,,,,,,,,,
名 称,,,摘 要,単位,ＡⅠ－１,,ＡⅠ－２,,備,,考,
,,,,,平 面,,平 面,,,,,
アスファルトプライマー,,,,㎏,0.2,,0.2,,,,,
アスファルト,,,3種,㎏,6,,5,,,,,
アスファルトルーフィング,,,1500,㎡,2.28,,1.14,,,,,
ストレッチルーフィング,,,1000,㎡,2.28,,2.28,,,,,
フラットヤーンクロス,,,,㎡,1.1,,1.1,,,,,
断熱材,,,厚25㎜,㎡,1.04,,1.04,,,,,
燃料,,,重油,L,1.8,,1.5,,,,,
防水工,,,,人,0.1,,0.086,,,,,
普通作業員,,,,人,0.036,,0.031,,,,,
その他,,,,式,1,,1,,,,,
(注) 1. 立上り及び立下り面は、表RA-9-1による。,,,,,,,,,,,,
,,2.「その他」の率対象は、アスファルトプライマー、アスファルト、アスファルトルーフィング、ストレッチル,,,,,,,,,,
,,ーフィング、フラットヤーンクロス、断熱材、燃料、防水工、普通作業員とする。,,,,,,,,,,
,,,,,,,,,,,,
表 RA - 9 - 3 【市】,,,,,,,,,,,,
,屋根保護防水絶縁工法 (１㎡当たり),,,,,,,,,,,
名 称,,,摘 要,単位,Ｂ－１,,,,Ｂ－２,,,備 考
,,,,,平 面,,立上り 立下り面,,平 面,立上り 立下り面,,
アスファルトプライマー,,,,㎏,0.2,,0.2,,0.2,0.2,,
アスファルト,,,3種,㎏,6.2,,6.93,,5.2,5.93,,
ゴムアスファルト系シール材,,,,L,―,,0.25,,―,0.25,,
アスファルトルーフィング,,,1500,㎡,2.28,,2.28,,1.14,1.14,,
網状アスファルトルーフィング,,,,㎡,―,,0.26,,―,0.26,,
砂付あなあきルーフィング,,,,㎡,1.04,,△1.3,,1.04,△1.3,,
ストレッチルーフィング,,,1000,㎡,2.28,,3.14,,2.28,3.14,,
ポリエチレンフィルム,,,厚0.15㎜,㎡,1.1,,―,,1.1,―,,
燃料,,,重油,L,1.9,,2.7,,1.6,2.4,,
防水工,,,,人,0.091,,0.13,,0.076,0.11,,
普通作業員,,,,人,0.029,,0.042,,0.024,0.035,,
その他,,,,式,1,,1,,1,1,,
(注) 1. △印数量は減を示す。,,,,,,,,,,,,
,,2.「その他」の率対象は、アスファルトプライマー、アスファルト、ゴムアスファルト系シール材、アスファル,,,,,,,,,,
,,トルーフィング、網状アスファルトルーフィング、砂付あなあきルーフィング、ストレッチルーフィング、ポリ,,,,,,,,,,
,,エチレンフィルム、燃料、防水工、普通作業員とする。,,,,,,,,,,
,,3. 砂付あなあきルーフィングを用いる仕様による。,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,- RA 35 -,,,,,,
