表 RA - 9 - 4 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,屋根保護防水絶縁断熱工法 (１㎡当たり),,,,,,,,,,,,
名,,,,称,摘 要,単位,ＢⅠ－１,,ＢⅠ－２,,備,,考,
,,,,,,,平 面,,平 面,,,,,
アスファルトプライマー,,,,,,㎏,0.2,,0.2,,,,,
アスファルト,,,,,3種,㎏,6.2,,5.2,,,,,
アスファルトルーフィング,,,,,1500,㎡,2.28,,1.14,,,,,
砂付あなあきルーフィング,,,,,,㎡,1.04,,1.04,,,,,
ストレッチルーフィング,,,,,1000,㎡,2.28,,2.28,,,,,
フラットヤー,,,,ンクロス,,㎡,1.1,,1.1,,,,,
断熱,,,,材,厚25㎜,㎡,1.04,,1.04,,,,,
燃,,,,料,重油,L,1.9,,1.6,,,,,
防水,,,,工,,人,0.11,,0.096,,,,,
普通作,,,,業員,,人,0.039,,0.034,,,,,
その,,,,他,,式,1,,1,,,,,
,(注) 1. 立上り及び立下り面は、RA-9-3による。,,,,,,,,,,,,,
2.「その他」の率対象は、アスファルトプライマー、アスファルト、アスファルトルーフィング、砂付あなあき,,,,,,,,,,,,,,
,,,ルーフィング、ストレッチルーフィング、フラットヤーンクロス、断熱材、燃料、防水工、普通作業員とする。,,,,,,,,,,,
,,,3. 砂付あなあきルーフィングを用いる仕様による。,,,,,,,,,,,
,,,,,,,,,,,,,,
表 RA - 9 - 5 【市】,,,,,,,,,,,,,,
,,屋根露出防水絶縁工法 (１㎡当たり),,,,,,,,,,,,
名 称,,,,,摘 要,単位,Ｄ－１,,,,Ｄ－２,,,備 考
,,,,,,,平 面,,立上り 立下り面,,平 面,立上り 立下り面,,
アスファルトプライマー,,,,,,㎏,0.2,,0.2,,0.2,0.2,,
アスファルト,,,,,3種,㎏,4.2,,4.75,,3.2,3.75,,
ゴムアスファルト系シール材,,,,,,L,―,,0.25,,―,0.25,,
アスファルトルーフィング,,,,,1500,㎡,1.14,,1.14,,1.14,1.14,,
網状アスファルトルーフィング,,,,,,㎡,―,,0.26,,―,0.26,,
砂付あなあきルーフィング,,,,,,㎡,1.04,,△1.3,,1.04,△1.3,,
ストレッチルーフィング,,,,,1000,㎡,2.28,,3.14,,1.14,2,,
砂付ストレッチルーフィング,,,,,,㎡,1.14,,1.14,,1.14,1.14,,
燃料,,,,,重油,L,1.3,,1.8,,1,1.5,,
防水工,,,,,,人,0.087,,0.13,,0.072,0.11,,
普通作業員,,,,,,人,0.03,,0.043,,0.025,0.036,,
その他,,,,,,式,1,,1,,1,1,,
,(注) 1. △印数量は減を示す。,,,,,,,,,,,,,
2.「その他」の率対象は、アスファルトプライマー、アスファルト、ゴムアスファルト系シール材、アスファル,,,,,,,,,,,,,,
,トルーフィング、網状アスファルトルーフィング、砂付あなあきルーフィング、ストレッチルーフィング、砂付,,,,,,,,,,,,,
,ストレッチルーフィング、燃料、防水工、普通作業員とする。,,,,,,,,,,,,,
,3. 砂付あなあきルーフィングを用いる仕様による。,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,- RA 36 -,,,,,,
